"KpiId","KpiName","Value","DataType","Period","StartDate","EndDate","CollectionFrequency"
"OPC13R","Schools Waste - Recycling (t)","341.35 Number","Number","2014/2015","2014-04-01","2015-03-31","Annual"
"OPC13R","Schools Waste - Recycling (t)","303.00 Number","Number","2015/2016","2015-04-01","2016-03-31","Annual"
