Supplier,Amount,Payment Date
BALFOUR BEATTY CONSTRUCTION LTD,323660.68,26/09/2013
BALFOUR BEATTY CONSTRUCTION LTD,316274.6,27/09/2013
BALFOUR BEATTY CONSTRUCTION LTD,508594.86,26/09/2013
BAM CONSTRUCTION LIMITED,28793.87,18/09/2013
BAM CONSTRUCTION LIMITED,479902.07,19/09/2013
BANSAL AND LONG LTD,760,10/09/2013
BANSAL AND LONG LTD,2409.8,23/09/2013
BATES WELLS & BRAITHWAITE LONDON LLP,5694,16/09/2013
BATES WELLS & BRAITHWAITE LONDON LLP,6464.4,25/09/2013
BAXTER COMMUNICATIONS LTD,627.49,23/09/2013
BEMROSE BOOTH PARAGON LTD,1515.6,16/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,512.8,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,861.95,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,508.47,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,672.28,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,538.44,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,1274.59,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,1108.93,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,593.37,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,538.12,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,671.27,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,519.2,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,717.92,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,641,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,777.33,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,783.13,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,1275.04,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,894.4,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,1642.22,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,1019.32,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,1723.44,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,563.44,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,522.91,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,1384.49,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,923.04,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,631.77,30/09/2013
BEST VALUE HOME CARE SERVICES UK LTD,861.95,30/09/2013
