Permanent secretary,Date,Person or organisation that meeting was with,Purpose of meeting,,,,,,,,,,,,,,,,,,,,,,,
Alex Chisholm,Jan-2017,KPMG,Introductory meeting,,,,,,,,,,,,,,,,,,,,,,,
Alex Chisholm,Jan-2017,British Academy ,Introductory meeting,,,,,,,,,,,,,,,,,,,,,,,
Alex Chisholm,Jan-2017,Alan Turing Institute,Introductory meeting,,,,,,,,,,,,,,,,,,,,,,,
Alex Chisholm,Jan-2017,University of London,Introductory meeting,,,,,,,,,,,,,,,,,,,,,,,
Alex Chisholm,Jan-2017,UK Petroleum Industry Association,To discuss Industrial Strategy,,,,,,,,,,,,,,,,,,,,,,,
Alex Chisholm,Jan-2017,Citizens Advice,To discuss Consumer policy,,,,,,,,,,,,,,,,,,,,,,,
Alex Chisholm,Jan-2017,Energy Intensive Users Group,Introductory meeting,,,,,,,,,,,,,,,,,,,,,,,
Alex Chisholm,Jan-2017,Royal Academy of Engineering,Introductory meeting,,,,,,,,,,,,,,,,,,,,,,,
Alex Chisholm,Jan-2017,Google,Introductory meeting,,,,,,,,,,,,,,,,,,,,,,,
Alex Chisholm,Feb-2017,British Retail Consortium,Introductory meeting,,,,,,,,,,,,,,,,,,,,,,,
Alex Chisholm,Feb-2017,International Energy Agency ,Introductory meeting,,,,,,,,,,,,,,,,,,,,,,,
Alex Chisholm,Feb-2017,Centre for Ageing Better ,Introductory meeting,,,,,,,,,,,,,,,,,,,,,,,
Alex Chisholm,Feb-2017,Morgan Stanley ,To discuss Infrastructure investment,,,,,,,,,,,,,,,,,,,,,,,
Alex Chisholm,Feb-2017,University of Cambridge,Introductory meeting,,,,,,,,,,,,,,,,,,,,,,,
Alex Chisholm,Feb-2017,Sir Paul Nurse ,Introductory meeting,,,,,,,,,,,,,,,,,,,,,,,
Alex Chisholm,Feb-2017,Rolls Royce ,Introductory meeting,,,,,,,,,,,,,,,,,,,,,,,
Alex Chisholm,Feb-2017,Wisscom,To discuss Innovation,,,,,,,,,,,,,,,,,,,,,,,
