?BODY NAME,SERVICE LABEL PORTFOLIO,SERVICE CODE,EXPENDITURE CATEGORY,DATE,TRANSACTION NUMBER,NET AMOUNT,SUPPLIER NAME,SUPPLIER ID
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,PREMISES REPAIRS & RENEWALS,04/05/2012,209050,5611.33,MANSELL CONSTRUCTION SERVICES,101448
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,04/05/2012,208655,32175.92,MANSELL CONSTRUCTION SERVICES,101448
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,MATERIALS,29/05/2012,210554,7234,OAK INDUSTRIAL SUPPLIES LIMITED,100401
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,18/05/2012,209678,5572.95,MATTHEWS & TANNERT LTD,101312
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,04/05/2012,208864,5616.51,MATTHEWS & TANNERT LTD,101312
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,04/05/2012,208849,14447.75,MATTHEWS & TANNERT LTD,101312
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,04/05/2012,208850,22076.17,MATTHEWS & TANNERT LTD,101312
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,04/05/2012,209039,31746.71,MATTHEWS & TANNERT LTD,101312
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,04/05/2012,209040,47893.32,MATTHEWS & TANNERT LTD,101312
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,CLOTHING AND UNIFORMS,04/05/2012,209061,1117.2,MELTEMI COMPANY CLOTHING LTD,101602
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,CLOTHING AND UNIFORMS,04/05/2012,209014,1206.45,MELTEMI COMPANY CLOTHING LTD,101602
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,CLOTHING AND UNIFORMS,04/05/2012,209062,1216.87,MELTEMI COMPANY CLOTHING LTD,101602
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,CLOTHING AND UNIFORMS,04/05/2012,209015,1393.97,MELTEMI COMPANY CLOTHING LTD,101602
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,CLOTHING AND UNIFORMS,04/05/2012,209016,1764.99,MELTEMI COMPANY CLOTHING LTD,101602
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,CLOTHING AND UNIFORMS,04/05/2012,209063,2711.6,MELTEMI COMPANY CLOTHING LTD,101602
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,MATERIALS,25/05/2012,210032,427.5,MERTRUX LTD,100304
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,ARTISTS FEES,18/05/2012,209664,1234.28,METAL BOX PRODUCTIONS,101587
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,18/05/2012,209636,452.4,METRIC GROUP LTD,100306
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,18/05/2012,209635,1628.64,METRIC GROUP LTD,100306
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,REPAIRS AND MAINTENANCE,18/05/2012,209637,2016.75,METRIC GROUP LTD,100306
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,25/05/2012,210085,6514.56,METRIC GROUP LTD,100306
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B991,STORES RECEIPTS,18/05/2012,209577,438.44,MITCHELL POWERSYSTEMS,101238
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,ARTISTS FEES,18/05/2012,209669,1857.5,MORNINGSIDE MANAGEMENT LTD,100315
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B994,REFUNDS,11/05/2012,209407,583.67,REDACTED PERSONAL DATA,101156
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,EH MINOR DEFAULT WORKS,25/05/2012,210174,420,REDACTED PERSONAL DATA,100333
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B994,REFUNDS,18/05/2012,209766,1129.41,REDACTED PERSONAL DATA,101600
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B994,REFUNDS,18/05/2012,209768,2693.32,REDACTED PERSONAL DATA,101601
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B994,REFUNDS,18/05/2012,209759,1283.7,REDACTED PERSONAL DATA,101599
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED GRANTS,04/05/2012,208865,657.59,N SHACKLOCK LTD,100349
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,25/05/2012,210159,1103.05,N SHACKLOCK LTD,100349
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,25/05/2012,210163,3266.51,N SHACKLOCK LTD,100349
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,25/05/2012,210162,4616.74,N SHACKLOCK LTD,100349
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED GRANTS,18/05/2012,209684,5528.05,N SHACKLOCK LTD,100349
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,25/05/2012,210161,6066.34,N SHACKLOCK LTD,100349
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,18/05/2012,209713,8537.88,N SHACKLOCK LTD,100349
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,18/05/2012,209721,16589.03,N SHACKLOCK LTD,100349
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,SUBSCRIPTIONS,11/05/2012,209433,636,NABMA,100351
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,04/05/2012,208863,4260,NATIONWIDE SOLAR LTD,101321
NEWARK AND SHERWOOD DISTRICT COUNCIL,SAFE AND STRONG,B500,CONTRACTUAL SERVICES,25/05/2012,210006,640,NCC SUPPLIES,100966
NEWARK AND SHERWOOD DISTRICT COUNCIL,SAFE AND STRONG,B500,CONTRACTUAL SERVICES,25/05/2012,210004,658,NCC SUPPLIES,100966
NEWARK AND SHERWOOD DISTRICT COUNCIL,SAFE AND STRONG,B500,CONTRACTUAL SERVICES,25/05/2012,210003,900,NCC SUPPLIES,100966
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,STANDING CHARGES TELEPHONES,04/05/2012,209056,30461.14,NEC UK LTD,101026
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,AGENCY REPAYMENTS,18/05/2012,209668,1750,NEW YOUTH THEATRE,100360
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,AGENCY REPAYMENTS,18/05/2012,209666,1772.5,NEW YOUTH THEATRE,100360
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,PROFESSIONAL SERVICES,18/05/2012,209633,7522,NEWARK & SHERWOOD CVS,101027
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,PLAY LEADERSHIP,11/05/2012,209443,4825,NEWARK & SHERWOOD PLAY SUPPORT GROUP,100362
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,ADVERTISING,25/05/2012,210051,585.78,NEWARK ADVERTISER CO LTD,100363
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,ADVERTISING,25/05/2012,210055,1068,NEWARK ADVERTISER CO LTD,100363
NEWARK AND SHERWOOD DISTRICT COUNCIL,SUSTAINABLE DEV & REGENERATION,B700,CONTRACTUAL SERVICES,04/05/2012,208956,870,NEWARK ALARM SYSTEMS,100364
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,RECHARGE THIRD PARTY,25/05/2012,210075,7077,NEWARK AND SHERWOOD HOMES LTD,100366
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,RECHARGE THIRD PARTY,04/05/2012,209019,9964.64,NEWARK AND SHERWOOD HOMES LTD,100366
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,PROFESSIONAL SERVICES,11/05/2012,209389,1666.68,NEWARK AND SOUTHWELL STREET PASTORS,100874
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,PREVENTION FUND,04/05/2012,208993,1875,NEWARK CITIZENS ADVICE BUREAU,100367
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,CONTRACTUAL SERVICES,18/05/2012,209708,1050,NEWARK SECURITY SERVICES LTD,100371
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,11/05/2012,209397,32939,NEWARK TOWN COUNCIL,100374
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,PROFESSIONAL SERVICES,18/05/2012,209706,600,NIC PORTER ASSOCIATES LTD,101581
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,LAND SEARCHES,25/05/2012,210027,756,NOTTINGHAMSHIRE COUNTY COUNCIL,100393
NEWARK AND SHERWOOD DISTRICT COUNCIL,SUSTAINABLE DEV & REGENERATION,B700,CONTRACTUAL SERVICES,11/05/2012,209386,1285.56,NOTTINGHAMSHIRE COUNTY COUNCIL,100393
NEWARK AND SHERWOOD DISTRICT COUNCIL,SUSTAINABLE DEV & REGENERATION,B700,PROFESSIONAL SERVICES,04/05/2012,208787,2025,NOTTINGHAMSHIRE COUNTY COUNCIL,100393
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,NOTTS CC PRECEPT,18/05/2012,209865,2555,NOTTINGHAMSHIRE COUNTY COUNCIL,100393
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,CLINICAL WASTE,04/05/2012,209065,21099.55,NOTTINGHAMSHIRE COUNTY COUNCIL,100393
NEWARK AND SHERWOOD DISTRICT COUNCIL,SUSTAINABLE DEV & REGENERATION,B700,PROFESSIONAL SERVICES,04/05/2012,208662,76076.75,NOTTINGHAMSHIRE COUNTY COUNCIL,100393
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,NOTTS CC PRECEPT,18/05/2012,209865,4698023,NOTTINGHAMSHIRE COUNTY COUNCIL,100393
NEWARK AND SHERWOOD DISTRICT COUNCIL,SAFE AND STRONG,B500,CONTRACTUAL SERVICES,25/05/2012,210007,2323.24,NOTTINGHAMSHIRE POLICE,100397
NEWARK AND SHERWOOD DISTRICT COUNCIL,SAFE AND STRONG,B500,CONTRACTUAL SERVICES,25/05/2012,210025,4000,NOTTINGHAMSHIRE POLICE,100397
NEWARK AND SHERWOOD DISTRICT COUNCIL,SAFE AND STRONG,B500,CONTRACTUAL SERVICES,25/05/2012,210024,4500,NOTTINGHAMSHIRE POLICE,100397
NEWARK AND SHERWOOD DISTRICT COUNCIL,SAFE AND STRONG,B500,CONTRACTUAL SERVICES,25/05/2012,210022,7000.97,NOTTINGHAMSHIRE POLICE,100397
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,POLICE PRECEPT,18/05/2012,209866,655222,NOTTINGHAMSHIRE POLICE,100397
NEWARK AND SHERWOOD DISTRICT COUNCIL,SAFE AND STRONG,B500,CONTRACTUAL SERVICES,25/05/2012,210009,5000,NOTTINGHAMSHIRE WOMEN'S AID LTD,100398
NEWARK AND SHERWOOD DISTRICT COUNCIL,SAFE AND STRONG,B500,CONTRACTUAL SERVICES,25/05/2012,210010,5000,NOTTINGHAMSHIRE WOMEN'S AID LTD,100398
NEWARK AND SHERWOOD DISTRICT COUNCIL,SAFE AND STRONG,B500,CONTRACTUAL SERVICES,25/05/2012,210011,5000,NOTTINGHAMSHIRE WOMEN'S AID LTD,100398
NEWARK AND SHERWOOD DISTRICT COUNCIL,SAFE AND STRONG,B500,CONTRACTUAL SERVICES,25/05/2012,210020,5000,NOTTINGHAMSHIRE WOMEN'S AID LTD,100398
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B995,FIRE PRECEPT,18/05/2012,209867,274397,NOTTINGHAMSHIRE FIRE AUTHORITY,101572
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,PROFESSIONAL SERVICES,18/05/2012,209700,3400,NOWCOMM LTD,100399
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,HARDWARE MAINTENANCE,25/05/2012,210121,16260.58,NOWCOMM LTD,100399
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,NSH CAPITAL FEE,01/05/2012,1127073,105226.07,NEWARK AND SHERWOOD HOMES LTD,400001
NEWARK AND SHERWOOD DISTRICT COUNCIL,HOUSING REVENUE ACCOUNT,B300,NSH MANAGEMENT FEE,10/05/2012,1126332,618530,NEWARK AND SHERWOOD HOMES LTD,400001
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B991,STORES RECEIPTS,04/05/2012,208801,465.5,OAK INDUSTRIAL SUPPLIES LIMITED,100401
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,OIL AND LUBRICANTS,04/05/2012,208722,775.96,OAK INDUSTRIAL SUPPLIES LIMITED,100401
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,DISABLED FACILITIES,18/05/2012,209793,1445,OBAM LIFT SERVICES LTD,100403
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,PREMISES REPAIRS & RENEWALS,11/05/2012,209356,483,OLD HALL NURSERIES LTD,100405
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,PREMISES REPAIRS & RENEWALS,04/05/2012,208985,500,OLIVETI CUBICLES,101542
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,REPAIRS AND MAINTENANCE,04/05/2012,208985,2113.17,OLIVETI CUBICLES,101542
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,PROFESSIONAL SERVICES,25/05/2012,210038,14291,OLLERTON & BOUGHTON TOWN COUNCIL,100968
NEWARK AND SHERWOOD DISTRICT COUNCIL,SUSTAINABLE DEV & REGENERATION,B700,COMPUTER SOFTWARE MAINTENANCE,04/05/2012,208836,8968.12,OPEN TEXT UK LTD,100408
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,COMPUTER SOFTWARE MAINTENANCE,04/05/2012,208836,8968.13,OPEN TEXT UK LTD,100408
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,PREMISES REPAIRS & RENEWALS,04/05/2012,208986,3067,PARAGON DECOR8 LTD,101596
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,REPAIRS AND MAINTENANCE,04/05/2012,209031,1488.74,PARAGON LEISURE REFURBS LTD,101597
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,PREMISES REPAIRS & RENEWALS,04/05/2012,209031,2731.53,PARAGON LEISURE REFURBS LTD,101597
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,25/05/2012,210149,475,PARKS AND PLAYGROUND SOLUTIONS LTD,101034
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,MATERIALS,18/05/2012,209574,944.84,PARTIC MOTOR SPARES LTD,100421
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,OTHER EQUIPMENT AND TOOLS,18/05/2012,209640,1584.56,PLANTSCAPE LIMITED,101595
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,REFUSE BIN PURCHASES,04/05/2012,208728,9485,PLASTIC OMNIUM URBAN SYSTEMS,101100
NEWARK AND SHERWOOD DISTRICT COUNCIL,CLEAN AND GREEN,B800,REFUSE BIN PURCHASES,04/05/2012,208782,18144.5,PLASTIC OMNIUM URBAN SYSTEMS,101100
NEWARK AND SHERWOOD DISTRICT COUNCIL,SAFE AND STRONG,B500,ELECTION EXPENSES,04/05/2012,208741,492.38,PRINT IMAGE NETWORK LTD,100431
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,PROFESSIONAL SERVICES,04/05/2012,209067,5750,PURCELL MILLER TRITTON LLP,101037
NEWARK AND SHERWOOD DISTRICT COUNCIL,SAFE AND STRONG,B500,QUADRANT MAINTENANCE,04/05/2012,208992,561,QUADRANT SECURITY GROUP LTD,100438
NEWARK AND SHERWOOD DISTRICT COUNCIL,SAFE AND STRONG,B500,CCTV OPERATION,04/05/2012,208846,2802.88,QUADRANT SECURITY GROUP LTD,100438
NEWARK AND SHERWOOD DISTRICT COUNCIL,SAFE AND STRONG,B500,REMPLOY 3RD PARTY AGENTS,04/05/2012,208989,11234,REMPLOY LIMITED,100451
NEWARK AND SHERWOOD DISTRICT COUNCIL,SUSTAINABLE DEV & REGENERATION,B700,CONTRACTUAL SERVICES,18/05/2012,209689,1000,REPROTEC LTD,100452
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,11/05/2012,209432,522,REDACTED PERSONAL DATA,100454
NEWARK AND SHERWOOD DISTRICT COUNCIL,HEALTH AND HOMES,B900,CONTRACTUAL SERVICES,11/05/2012,209434,531,REDACTED PERSONAL DATA,100454
NEWARK AND SHERWOOD DISTRICT COUNCIL,SUSTAINABLE DEV & REGENERATION,B700,PROFESSIONAL SERVICES,04/05/2012,208817,1750,REDACTED PERSONAL DATA,101604
NEWARK AND SHERWOOD DISTRICT COUNCIL,SUSTAINABLE DEV & REGENERATION,B700,PROFESSIONAL SERVICES,18/05/2012,209735,818,RICHARD LING AND ASSOCIATES,100455
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,04/05/2012,208856,891.93,RIXONWAY KITCHENS LTD,101367
NEWARK AND SHERWOOD DISTRICT COUNCIL,CAPITAL,B997,CONTRACT WORK,04/05/2012,208855,1198.99,RIXONWAY KITCHENS LTD,101367
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,PLANNED MAINTENANCE - GROVE,18/05/2012,209642,700,RM INSTALLATIONS,101457
NEWARK AND SHERWOOD DISTRICT COUNCIL,CULTURE AND LEISURE,B600,ADVERTISING,18/05/2012,209746,1300,ROUNDABOUT,100973
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,POSTAGES,11/05/2012,209413,583.11,ROYAL MAIL GROUP LTD,100469
NEWARK AND SHERWOOD DISTRICT COUNCIL,SAFE AND STRONG,B500,ELECTION EXPENSES,04/05/2012,209004,760.48,ROYAL MAIL GROUP LTD,100469
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,POSTAGES,04/05/2012,208961,1276.72,ROYAL MAIL GROUP LTD,100469
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,POSTAGES,25/05/2012,210030,1376.32,ROYAL MAIL GROUP LTD,100469
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,POSTAGES,18/05/2012,209748,1420.51,ROYAL MAIL GROUP LTD,100469
NEWARK AND SHERWOOD DISTRICT COUNCIL,STRATEGIC AND CORPORATE POLICY,B400,POSTAGES,04/05/2012,208945,1729.38,ROYAL MAIL GROUP LTD,100469
