Minister      ,Date,Gift,Given or received,Who gift was given to or received from,Value (£),"Outcome 
(received gifts only)"
Amber Rudd,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Brandon Lewis,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Nick Hurd,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Susan Williams,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Sarah Newton,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
Ben Wallace,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return,Nil Return
