ActivitySiteID,ActivityDescription,BookingEndDateTime (Month / Day / Year),BookingStartTime,MaxBookees,Number Booked
Brighouse Pool,20.20.20  10-11am,04-Jul-17,10:00:00,35,26
Brighouse Pool,20.20.20  10-11am,11-Jul-17,10:00:00,35,21
Brighouse Pool,20.20.20  10-11am,18-Jul-17,10:00:00,35,21
Brighouse Pool,20.20.20  10-11am,25-Jul-17,10:00:00,35,27
Brighouse Pool,20.20.20  10-11am,01-Aug-17,10:00:00,35,26
Brighouse Pool,20.20.20  10-11am,08-Aug-17,10:00:00,35,27
Brighouse Pool,20.20.20  10-11am,15-Aug-17,10:00:00,35,21
Brighouse Pool,20.20.20  10-11am,22-Aug-17,10:00:00,35,16
Brighouse Pool,20.20.20  10-11am,29-Aug-17,10:00:00,35,15
Brighouse Pool,20.20.20  10-11am,05-Sep-17,10:00:00,35,22
Brighouse Pool,20.20.20  10-11am,12-Sep-17,10:00:00,35,22
Brighouse Pool,20.20.20  10-11am,19-Sep-17,10:00:00,35,16
Brighouse Pool,20.20.20  10-11am,26-Sep-17,10:00:00,35,15
Brighouse Pool,20:20:20  9.30-10.30am,07-Jul-17,09:30:00,35,26
Brighouse Pool,20:20:20  9.30-10.30am,14-Jul-17,09:30:00,35,30
Brighouse Pool,20:20:20  9.30-10.30am,21-Jul-17,09:30:00,35,23
Brighouse Pool,20:20:20  9.30-10.30am,28-Jul-17,09:30:00,35,13
Brighouse Pool,20:20:20  9.30-10.30am,04-Aug-17,09:30:00,35,17
Brighouse Pool,20:20:20  9.30-10.30am,11-Aug-17,09:30:00,35,21
Brighouse Pool,20:20:20  9.30-10.30am,18-Aug-17,09:30:00,35,17
Brighouse Pool,20:20:20  9.30-10.30am,25-Aug-17,09:30:00,35,14
Brighouse Pool,20:20:20  9.30-10.30am,01-Sep-17,09:30:00,35,12
Brighouse Pool,20:20:20  9.30-10.30am,08-Sep-17,09:30:00,35,23
