SampleDate,RoutineSamplePass,RoutineSampleFail,FollowUp1Pass,FollowUp1Fail,FollowUp2Pass,FollowUp2Fail
2016-01,19,3,3,1,1,1
2016-02,32,7,7,2,4,3
2016-03,20,4,7,4,4,3
2016-04,36,7,4,0,3,1
2016-05,36,13,12,8,11,7
2016-06,32,7,8,3,5,1
2016-07,20,12,2,3,1,5
2016-08,25,9,13,6,7,7
2016-09,34,12,11,4,14,2
2016-10,37,8,9,7,10,1
2016-11,20,6,8,1,5,0
2016-12,31,8,7,3,4,0
