,,,,,,
,Department,Organisation Name,Project name,Basis for expenditure approval,Total Value Approved (£M),Date of approval
,HMRC,,Employment Allowance ,Advertising campaign to launch new Employment Allowance on 6 April 2014. Total £2.35M; £.85M spent in Q4 2013/14,"£1,5",06.02.2014
,HMRC,,HMRC Tax Credits Renewals 2014/15 campaign,"A campaign to reduce fraud and error in the tax credits system, ensuring claimants renew on time and accurately. Increased by £100,000 to cover online digital campaign +£100,000","£1,575",26.06.2014
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
