NHSCR16CD,NHSCR16CDH,NHSCR16NM,OBJECTID
E40000001,Y54,North of England                        ,0
E40000002,Y55,Midlands and East of England            ,1
E40000003,Y56,London                                  ,2
E40000004,Y57,South of England                        ,3
