Property Reference Number,Primary Liable party name,Full Property Address,Current Rateable Value
101119000201N,Vickerstown Upholstery Ltd,"18-20, Douglas Street, Barrow In Furness, Cumbria, LA14 3QQ",13250
101126300071N,Barrow Borough Council,"Plots 7 R/O, Gatacre Street, Barrow In Furness, Cumbria, LA14 3PY",410
101137609011N,Cumbria County Council,"Vickerstown School, Mill Lane, Barrow In Furness, Cumbria, LA14 3QS",68000
101248709283N,Lakes Gliding Club,"Lakes Gliding Club, Walney Aerodrome, North Scale, Barrow In Furness, Cumbria, LA14 3TJ",4300
101248709284N,Bae Systems Marine Ltd,"Airfield, Walney Aerodrome, Walney, Barrow-In-Furness, Cumbria, LA14  3TJ",76500
101254809011N,Barrow Borough Council,"F Nicholls Part Of Former Training Centre, Promenade, Barrow In Furness, Cumbria, LA14 3RW",1175
101254809016N,N Scale Dis. Boat Club,"North Scale Disabled Boat Club, Promenade, Barrow In Furness, Cumbria, LA14 3RW",960
101254809050N,Mitchells & Butler Ltd,"Ferry Hotel, Promenade, Barrow In Furness, Cumbria, LA14 3PE",48000
101254809090N,Walney Marine Club,"Walney Marine Club, Promenade, Barrow In Furness, Cumbria, LA14 3PE",4500
101254809150N,Coral Racing Ltd,"Chas Kendall, Promenade, Barrow In Furness, Cumbria, LA14 3AA",8000
101254809250N,"Nautical Club,","Nautical Club, Promenade, Barrow In Furness, Cumbria, LA14 3QF",9200
101279401150N,Jcdecaux Uk Limited,"Chairman'S Walk, Promenade, Barrow In Furness, Cumbria, LA14 3PE",580
101311909050N,"Furness Golf Club,","Furness Golf Club, Central Drive, Barrow In Furness, Cumbria, LA14 3LN",32000
101311909051N,E E Limited,"Orange (Cum0090) Furness Golf Club, Central Drive, Barrow In Furness, Cumbria, LA14 3LN",5700
101311909060N,Walney Central Arlfc,"Walney Central Rfc,, Central Drive, Barrow In Furness, Cumbria, LA14 3HY",3400
101311909090N,Leonard Cheshire Disability,"Community Hall, Central Drive, Barrow In Furness, Cumbria, LA14 3HY",5300
101311909091N,Cumbria County Council,"Branch Library, Central Drive, Barrow In Furness, Cumbria, LA14 3HY",9900
101314229000N,Cumbria County Council,"Sports Ground,, Cows Tarn Lane, Barrow In Furness, Cumbria, LA14 3UG",4150
101314229001N,North Scale Residents Association (Incorp Comm Centre),"North Scale Community Centre, Cows Tarn Lane, Barrow In Furness, Cumbria, LA14 3UG",2800
101342901081N,Action For Children,"108a,, Mill Lane, Barrow In Furness, Cumbria, LA14 3NS",3600
101342901100N,Mill Lane Stores Ltd,"110, Mill Lane, Barrow In Furness, Cumbria, LA14 3NT",9900
101342901120N,Ingrid Goodings Ltd,"112, Mill Lane, Barrow In Furness, Cumbria, LA14 3NT",5500
101342901180N,Walney Community Trust,"118, Mill Lane, Barrow In Furness, Cumbria, LA14 3NT",5500
101342901210N,Action For Children,"Community Centre, 120, Mill Lane, Barrow In Furness, Cumbria, LA14 3NT",10250
101342901500N,Electricity North West,"Independent Distribution Network Operator, Vickerstown Primary, Mill Lane, Barrow In Furness, Cumbria, LA14 3QS",66
101342909020N,"Vickerstown Cricket Club,","Rainey Park, Mill Lane, Barrow In Furness, Cumbria, LA14 3ND",7900
101342909036N,Art Gene Ltd,"Plot 11,, Mill Lane, Barrow In Furness, Cumbria, LA14 3XY",310
101342909052N,Cumbria County Council,"North Walney Co Primary Schl, Duddon Drive, Barrow In Furness, Cumbria, LA14 3TL",25500
101342909090N,Cumbria County Council,"Fire Station, Mill Lane, Barrow In Furness, Cumbria, LA14 3XX",22000
101342909100N,Vickerstown Fc,"Park Vale Sports Centre, Mill Lane, Barrow In Furness, Cumbria, LA14 3XY",6000
101348379040N,Barrow Borough Council,"Borough Kennels, North Scale, Barrow In Furness, Cumbria, LA14 3RW",2900
101379300182N,J N Murray Ltd,"J N Murray Ltd, Central Drive, Barrow In Furness, Cumbria, LA14 3HY",17000
101379300184N,Nw R.F.C.A,"Acf Centre, Central Drive, Barrow In Furness, Cumbria, LA14 3HY",4300
101421409020N,The Berkeley Leisure Group Ltd,"West Shore Caravan Park, West Shore Park, Barrow In Furness, Cumbria, LA14 3XZ",3550
101421409040N,Development Division,"Opp Westshore Caravan Park, West Shore Park, Barrow In Furness, Cumbria, LA14 3XZ",8400
102101409000N,Cumbria County Council,"South Walney Infant School, Amphitrite Street, Barrow In Furness, Cumbria, LA14 3BZ",24000
102101409005N,Walney Community Trust,"Spring Mount Walney, Amphitrite Street, Barrow In Furness, Cumbria, LA14 3BZ",3400
102106800320N,West Shore Bowling Club,"West Shore Bowling Club, 32, Biggar Bank Road, Barrow In Furness, Cumbria, LA14 3YF",9700
102106809010N,Walney School,"Cumbria County Council, Tummerhill Playing F, Biggar Bank Road, Barrow In Furness, Cumbria, LA14 3HN",600
102106809011N,Walney Island Fc,"Walney Island Football Club, Ocean Road, Barrow In Furness, Cumbria, LA14 3HN",1425
102111209010N,Biggar Bank Caravan Association,"Salt Marsh Caravan Park, Carr Lane, Barrow In Furness, Cumbria, LA14 3YH",8300
102250200370N,Tesco Stores Ltd,"37-39, Ocean Road, Barrow In Furness, Cumbria, LA14 3DD",33250
102250209040N,Ocean Wave,"Ocean Wave Community Centre, Court Guards, Barrow In Furness, Cumbria, LA14 3EX",2025
102250209090N,Walney Island South End Caravan Site Ltd,"The King Alfred, Ocean Road, Barrow In Furness, Cumbria, LA14 3DU",22750
102250209091N,King Alfred Bowling Club,"Bowling Green At King Alfred Hotel, Ocean Road, Barrow In Furness, Cumbria, LA14 3DU",810
102250209110N,Cumbria County Council,"South Walney Junior School, Amphitrite Street, Barrow In Furness, Cumbria, LA14 3EG",36500
102353909011N,Cumbrian Co-Op Society,"Cumbrian Co-Op Society Ltd,, Plymouth Street, Barrow In Furness, Cumbria, LA14 3AN",25500
102353909012N,Cumbrian Co-Op Society,"Atm Site At, Cumbrian Co-Op Society Ltd, Plymouth Street, Barrow In Furness, Cumbria, LA14 3AN",8300
102364409120N,Energ Natural Power Ltd,"South Walney Landfill Site Sth, South End, Barrow In Furness, Cumbria, LA14 3YQ",5100
102364409151N,"The Cumbria Wildlife Trust,","Adj Coastguard Cottages, South End, Barrow In Furness, Cumbria, LA14 3YQ",1725
102407209020N,Walney School,"Walney School, Sandy Gap Lane, Barrow In Furness, Cumbria, LA14 3JL",312500
102408500391N,Rwe Tanning Limited T/A The Sun Shack,"39a, Bristol Street, Barrow In Furness, Cumbria, LA14 3AG",3400
102411900192N,Inn-Assist Limited,"Vickerstown Pub, Central Drive, Barrow In Furness, Cumbria, LA14 3HU",14750
102411900194N,Mobile Broadband Network Limited,"T-Mobile (66801) Streetworks, Central Drive, Barrow In Furness, Cumbria, LA14 3JA",5300
102411900950N,Mullberry Homes Limited,"95, Central Drive, Barrow In Furness, Cumbria, LA14 3HZ",32750
102411901042N,Walney Central Pre-School,"Walney Central Pre School,, Central Drive, Barrow In Furness, Cumbria, LA14 3HY",5500
102412409500N,St Columba'S Rc Primary School,"St Columba'S Rc Primary School, Church Lane, Barrow In Furness, Cumbria, LA14 3AD",19250
102418600600N,Davis & Hadwin Ltd,"58-60, Dominion Street, Barrow In Furness, Cumbria, LA14 3BW",5500
102522709010N,Columba Garage Ltd,"Columba Garage, Euryalus Street, Barrow In Furness, Cumbria, LA14 3BD",2700
102538800020N,Early News Walney Ltd,"2, Liverpool Street, Barrow In Furness, Cumbria, LA14 3BA",3900
102564650370N,Mullberry Homes Limited,"37, Southampton Street, Barrow In Furness, Cumbria, LA14 3LQ",11500
103101600030N,J N Murray Ltd,"3, Anchor Road, Barrow In Furness, Cumbria, LA14 2QW",4050
103101600110N,Happy Ark Fish Bar Ltd,"11, Anchor Road, Barrow In Furness, Cumbria, LA14 2QW",1250
103101600125N,Hotel Invest Ltd,"Royal Hotel,, 12-14, Anchor Road, Barrow In Furness, Cumbria, LA14 2QW",24750
103101600130N,Easyclean Cumbria Ltd,"13, Anchor Road, Barrow In Furness, Cumbria, LA14 2QW",2175
103101600400N,Howcol Properties Limited,"40, Anchor Road, Barrow In Furness, Cumbria, LA14 2QP",0
103108159011N,Clear Channel Uk Ltd,"Adshell 1902 0031, Adj Vsel Skill Block A, Bridge Road, Barrow In Furness, Cumbria, LA14 2PP",480
103218400100N,Holker Estates,"10, Devonshire Buildings, Ship Street, Barrow In Furness, Cumbria, LA14 2RW",1975
103220100010N,Barrow Sea Cadet Unit,"Barrow Sea Cadet Unit 1, Dundee Street, Barrow In Furness, Cumbria, LA14 2RP",12250
103221300370N,"Braklon Ltd,","37-39, Earle Street, Barrow In Furness, Cumbria, LA14 2PZ",4450
103221800014N,Rent A Home Ltd,"1d,, Egerton Court, Barrow In Furness, Cumbria, LA14 2TT",1225
103223609040N,Thrift Charitable Trust,"Thrift Charitable Trust, Farm Street, Barrow In Furness, Cumbria, LA14 2RX",800
103223609060N,Lancaster Rc Diocesan Trustees,"St Patrick'S Catholic Club, Farm Street, Barrow In Furness, Cumbria, LA14 2RX",9600
103223800850N,Cash 4 Clothes (Scotland) Ltd,"85, Ferry Road, Barrow In Furness, Cumbria, LA14 2QE",2650
103223820601N,Barrow Sailing Club,"Barrow Sailing Club, North Road, Barrow In Furness, Cumbria, LA14 2PP",1725
103223820730N,Barrow Sailing Club,"Store No S/C 73, Ferry Station, Barrow In Furness, Cumbria, LA14 2PP",460
103223829210N,Barrow Sailing Club,"28, Ferry Station, Barrow In Furness, Cumbria, LA14 2PP",365
103223829600N,Premier Tiles (Barrow-In-Furness) Ltd,"Premier Tiles, Premier Business Park, Ferry Beach Road, Barrow In Furness, Cumbria, LA14 2PP",53000
103334000012N,Coral Racing Ltd,"1b, Island Road, Barrow In Furness, Cumbria, LA14 2QN",3250
103334000032N,Barrow Island Community Trust,"3a, Island Road, Barrow In Furness, Cumbria, LA14 2QN",1925
103334000033N,Cumbrian Co-Op Society,"Atm Site At, 3, Island Road, Barrow In Furness, Cumbria, LA14 2QN",5900
103334000131N,Fast Property Sale Limited,"Buywrights, 13a, Steamer Street, Barrow In Furness, Cumbria, LA14 2SH",2950
103334009050N,Cumbria County Council,"Bram Longstaffe Nursery School, Island Road, Barrow In Furness, Cumbria, LA14 2RN",15250
103334009060N,Cumbria County Council,"Barrow Island Primary School, Trinity Street, Barrow In Furness, Cumbria, LA14 2SJ",40500
103334009080N,Cumbrian Co-Op Society,"Cumbrian Cooperative Soc Ltd, Island Road, Barrow In Furness, Cumbria, LA14 2RL",19250
103334009100N,Trustees Of Barrow Island Community Sports Trust,"Cavendish Park Playing Fields & Changing Rooms, Island Road, Barrow In Furness, Cumbria, LA14 2SA",5300
103334009110N,Barrow Island Bowling Club,"Bowling Green At Cavendish Park, Island Road, Barrow In Furness, Cumbria, LA14 2SA",1125
103342709012N,Clear Channel Uk Ltd,"Adshell 1902 0055 Outside Vsel Gate 12, Michaelson Road, Barrow In Furness, Cumbria, LA14 2RH",480
103342709013N,Clear Channel Uk Ltd,"Adshell 1902 0056 Outside Vsel Gate 13,, Michaelson Road, Barrow In Furness, Cumbria, LA14 1AF",480
103342709021N,Bae Systems Marine Ltd,"The Clothing Co Kings Gate, Michaelson Road, Barrow In Furness, Cumbria, LA14 1AF",3650
103342709063N,Bae Systems Marine Ltd,"Bae Systems Marine Ltd., Michaelson Road, Barrow In Furness, Cumbria, LA14 1AF",6270000
103342709065N,Barrow Central Joinery Ltd,"3-6 Archways, Michaelson Road, Barrow In Furness, Cumbria, LA14 2EY",4400
103342709095N,Clear Channel Uk Ltd,"Adshel 1902 0057 Corner Of Farm Street,, Michaelson Road, Barrow In Furness, Cumbria, LA14 2RX",480
103342709126N,J Fisher And Sons Ltd,"Fisher House,, Michaelson Road, Barrow In Furness, Cumbria, LA14 1AF",131000
103342709127N,Barrow Borough Council,"Part Sub Basement Of, Fisher House, Michaelson Road, Barrow In Furness, Cumbria, LA14 1AF",5500
103342709129N,Clear Channel Uk Ltd,"Adshell 1902 0053 Outside Fisher House, Michaelson Road, Barrow In Furness, Cumbria, LA14 1HR",480
103342709148N,Cumbria County Council,"4th Flr Craven House, Michaelson Road, Barrow In Furness, Cumbria, LA14 1AF",71500
103342709155N,Clear Channel Uk Ltd,"Adshell 1902 0054 Outside Job Centre Craven House, Michaelson Road, Barrow In Furness, Cumbria, LA14 1AF",480
103342709157N,Dept For Works & Pensions,"Craven House, Michaelson Road, Barrow In Furness, Cumbria, LA14 1AF",72000
103342709158N,Vodafone Ltd,"Vodafone 3754 At Roof Top Craven House, Michaelson Road, Barrow In Furness, Cumbria, LA14 1AF",9000
103342709159N,Mobile Broadband Ntwk. Ltd,"T-Mobile Site On Roof Of Craven House, Michaelson Road, Barrow In Furness, Cumbria, LA14 1AF",9000
103342709164N,Agilisys Ltd,"3rd Flr West Craven House,, Michaelson Road, Barrow In Furness, Cumbria, LA14 1AF",30000
103342709175N,Bae Systems Marine Ltd,"2nd And 3rd Flr East Craven House, Michaelson Road, Barrow In Furness, Cumbria, LA14 1AF",72500
103342709223N,Horrocks & Cross Ltd,"Northern Riviera 2nd Fl, The Canteen Media & Arts Ctr, Michaelson Road, Barrow In Furness, Cumbria, LA14 1AF",1500
103342709225N,Horrocks & Cross Ltd,"Unit 1 The Canteen Media & Arts Centre, Michaelson Road, Barrow In Furness, Cumbria, LA14 1AD",2850
103342709228N,Horrocks & Cross Ltd,"Studio 2, The Canteen Media And Arts Centre, Michaelson Road, Barrow In Furness, LA14 1AD",2100
103342709234N,Horrocks & Cross Ltd,"The Kitchen, The Canteen Media & Arts Cntr, Michaelson Road, Barrow In Furness, Cumbria, LA14 1AD",1050
103342709236N,Horrocks & Cross Ltd,"Studio 14 The Canteen Media & Arts Cntr, Michaelson Road, Barrow In Furness, Cumbria, LA14 1AD",540
103342709240N,The Porthole Community Centre,"The Basement At The Canteen, Michaelson Road, Barrow In Furness, Cumbria, LA14 1AD",5400
103357109002N,Barrow Borough Council,"Storage Land At Former Naval Base, Ramsden Dock, Barrow In Furness, Cumbria, LA14 2TB",2325
103357109010N,Int. Nuclear Services Ltd.,"Ins Marine Terminal, Ramsden Dock, Cavendish Dock Road, Barrow-In-Furness, Cumbria, LA14 2XA",117000
103357109040N,E E Limited,"Orange Pcs Ltd Cum 0082 Sd319467, Ramsden Dock Road, Barrow In Furness, Cumbria, LA14 2TN",6000
103357109120N,Hope Ready Mixed Concrete Limited,"Tarmac Northern Ltd, Anchorline Basin, Ramsden Dock Road, Barrow In Furness, Cumbria, LA14 2TB",18750
103357109250N,Barrow Island Boating Club,"No 34 Hut, Harding Rise, Barrow In Furness, Cumbria, LA14 2TB",330
103357109460N,"Bay Towage & Salvage Ltd,","Anchorline Basin, Ramsden Dock, Barrow In Furness, Cumbria, LA14 2TB",3100
