Minister,Date of Trip,Destination,Purpose,‘Scheduled’ or No 32 (The Royal) Squadron’ or ‘other RAF’ or ‘Charter’ or ‘Eurostar’  ,Number of officials accompanying Ministers (where non-scheduled travel is used),Total Cost including travel and accommodation of Minister only
"Secretary of State for Business, Innovation & Skills and President of the Board of Trade, Rt Hon Vincent Cable MP",09 October – 16 October,"India, Delhi, Goa, Pune, Chennai","To attend British Business Group India event, meet with Indian Ministers and  Confederation of Indian Industry.",Scheduled,N/A,"£5,475"
"Minister of State for Cabinet Office (Cities and Constitution) and Minister of State for Universities and Science, Rt Hon Greg Clark MP",11 November – 14 November,"India, Delhi",To increase bilateral cooperation between UK and India.,Scheduled,N/A,"£5,421"
"Minister of State for Cabinet Office (Cities and Constitution) and Minister of State for Universities and Science, Rt Hon Greg Clark MP",01 December – 02 December,Luxembourg,To attend European Space Agency Ministerial Meeting,Scheduled,N/A,£988
"Minister of State for Cabinet Office (Cities and Constitution) and Minister of State for Universities and Science, Rt Hon Greg Clark MP",10 December – 11 December,"Sweden, Stockholm",To attend Nobel Prize Ceremony,Scheduled,N/A,£644
"Minister of State (Trade and Investment), Lord Livingston ",05 October – 10 October,"USA, Boston, New York","To attend a number of events, promote UK Trade and Investment and to meet with Senior Government Ministers  ",Scheduled,N/A,"£4,778"
"Minister of State (Trade and Investment), Lord Livingston ",25 October – 30 October,"Japan, Toyko, Osaka","To launch  GREAT Week in Tokyo, promote British business and meet with senior Government Ministers",Scheduled,N/A,"£6,004"
"Minister of State (Trade and Investment), Lord Livingston ",04 November – 06 November,"Kazakhstan, Astana",Attend and speak at the UK – Kazakhstan Intergovernmental Commission (IGC),Scheduled,N/A,"£2,288"
"Minister of State (Trade and Investment), Lord Livingston ",12 November – 13 November,"Belgium, Brussels",To host have an introductory call with the new EU trade Commissioner  and bilateral meetings and host dinner with MEP's,Scheduled and Eurostar,N/A,£470
"Minister of State (Trade and Investment), Lord Livingston ",03 December – 04 December,"France, Paris","To meet French Trade Minister Matthias Fekl; host a dinner with potential investors; speak at a Special forces table top exhibition, lunch with senior figures from the Franco-British business community.",Eurostar,N/A,£250
"Minister of State (Trade and Investment), Lord Livingston ",18-Dec,"Belgium, Brussels",Accompany the PM to a TTIP meeting and lunch in Brussels,"Charter, Eurostar",N/A,Costs met by No.10
"Parliamentary Under-Secretary of State for Business, Innovation and Skills and Minister for Intellectual Property, Baroness Neville-Rolfe DBE",20 November – 21 November,"Belgium, Brussels",To attend Foreign Affairs Council (Trade),Eurostar & Scheduled,N/A,£250
"Parliamentary Under-Secretary of State for Business, Innovation and Skills and Minister for Intellectual Property, Baroness Neville-Rolfe DBE",03 December – 04 December,"Belgium, Brussels",To attend the Competitiveness Council  ,Eurostar,N/A,£211
"Parliamentary Under Secretary of State, (Employment Relations, Consumer Affairs), Jo Swinson MP",02 December – 03 December 2014,"Switzerland, Geneva",To speak at the UN Forum on Business and Human Rights,Scheduled,N/A,£150
"Minister of State for Business and Enterprise and Energy working jointly with the Department of Energy and Climate Change, Rt Hon Matthew Hancock MP",06 October – 10 October,"Japan, Tokyo, Nagoya","To attend business, investment and energy meetings and events.",Scheduled,N/A,"£7,625"
"Parliamentary Under Secretary of State for Life Sciences working jointly with the Department of Health, George Freeman MP",05 October – 10 October,"United States; Chicago, Boston, San Diego, Los Angeles",To promote UK trade and investment,Scheduled,N/A,"£1,243"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,, ,
