Primary Liable party name,Full Property Address,Outstanding Debt,Billing Period
1st Duddon Scouts,"Scout Hut, Beckside Road, Dalton-In-Furness, Cumbria, LA15 8DP",-28.92,2015
838383 Barrow Ltd (In Dissolution),"177,, Rawlinson Street, Barrow In Furness, Cumbria, LA14 1ED",-144.38,2012
Abbots Vale Users Association,"Abbots Vale Community Ctr, Abbots Vale, Barrow In Furness, Cumbria, LA13 9PA",-51.63,2010
Allied Carpets Props Ltd (In Liquidation),"Poundstretcher, Walney Road, Barrow In Furness, Cumbria, LA14  5UG",-800.84,2013
All Points North Plc (In Administration),"College House, Room 102, Howard Street, Barrow In Furness, Cumbria, LA14 1NB",-24.93,2014
Animal Welfare (Furness),"210, Dalton Road, Barrow In Furness, Cumbria, LA14 1PN",-501.37,2014
"Archway Uk, Community Action Furness","8 The Mall, Dalton Road, Barrow In Furness, Cumbria, LA14 1HL",-0.18,2006
Avis Rent A Car Ltd,"Avis Budget Group, Ashburner Way, Barrow-In-Furness, Cumbria, LA14 5UG",-3565.48,2015
Bae Systems Marine Ltd,"2nd And 3rd Flr East Craven House, Michaelson Road, Barrow In Furness, Cumbria, LA14 1AF",-2241.38,2015
Barrow Borough Council,"2nd Flr East Craven House, Michaelson Road, Barrow In Furness, Cumbria, LA14 1AF",-2323.5,2015
Barrow Borough Council,"3rd Flr East Craven House, , Michaelson Road, Barrow In Furness, Cumbria, LA14 1AF",-2828.61,2015
Barrow Borough Council,"Burlington House, Michaelson Road, Barrow In Furness, Cumbria, ",-2642.42,2015
Barrow Borough Council,"Common Parts Phoenix Business Centre,, Phoenix Court, Phoenix Road, Barrow-In-Furness, Cumbria, LA14 2UA",-2876.97,2015
Barrow Borough Council,"Compound 3, North West Electricity, Salthouse Road, Barrow In Furness, Cumbria, LA14 2UP",-373.8,2015
Barrow Borough Council,"Former Avis Rent A Car, Salthouse Road, Barrow In Furness, Cumbria, LA14 2AL",-2004,2015
Barrow Borough Council,"Room 24 Phoenix Business Centre, Phoenix Court, Phoenix Road, Barrow-In-Furness, Cumbria, LA14 2UA",-645.85,2015
Barrow Borough Council,"Signal Films At Burlington House, Michaelson Road, Barrow In Furness, Cumbria, ",-573.91,2015
Barrow Borough Council,"Stall 113,, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",-1769.83,2015
Barrow Borough Council,"Stall 4 Fish Hall, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",-21.92,2015
Barrow Borough Council,"Stalls 106 & 108, Market Hall, Duke Street, Barrow In Furness, Cumbria, LA14 1HH",-1306.85,2015
