Site,TotalCostsGBP,OccupiedArea(m2),OfficeFTEStaff,Workstations,CostPerFTEGBP,m2PerFTE,CostPerm2GBP,SqMPerWorkstation
Aviation House,5857083,4657,373,419,15703,12.5,1258,11.1
St Magnus House,451067,1041,71,81,6353,14.7,433,12.9
Southgate House,241819,762,27,44,8956,28.2,317,17.3
Clarendon Quay,219110,553,38,42,5766,14.6,396,13.2
Foss House,484409,1273,178,209,2721,7.2,381,6.1
