Figure 2,
Upper bound,Frequency
-1,0
-0.9,1
-0.8,0
-0.7,1
-0.6,2
-0.5,0
-0.4,2
-0.3,2
-0.2,1
-0.1,3
0,5
0.1,1
0.2,2
0.3,1
0.4,3
0.5,4
0.6,2
0.7,10
0.8,14
0.9,42
1,25

Figure 3,
Upper bound,Frequency
-1,0
-0.9,0
-0.8,0
-0.7,0
-0.6,0
-0.5,0
-0.4,1
-0.3,0
-0.2,0
-0.1,5
0,3
0.1,4
0.2,1
0.3,0
0.4,2
0.5,2
0.6,5
0.7,4
0.8,9
0.9,42
1,43

Figure 4a,
Upper bound,Frequency
-1,0
-0.9,0
-0.8,0
-0.7,0
-0.6,0
-0.5,0
-0.4,0
-0.3,0
-0.2,0
-0.1,0
0,0
0.1,1
0.2,0
0.3,1
0.4,0
0.5,0
0.6,5
0.7,0
0.8,11
0.9,13
1,10

Figure 4b,
Upper bound,Frequency
-1,0
-0.9,0
-0.8,0
-0.7,0
-0.6,0
-0.5,0
-0.4,0
-0.3,0
-0.2,0
-0.1,1
0,3
0.1,3
0.2,5
0.3,3
0.4,1
0.5,0
0.6,6
0.7,4
0.8,8
0.9,31
1,15

Figure 5a,
Upper bound,Frequency
-1,0
-0.9,0
-0.8,0
-0.7,0
-0.6,0
-0.5,0
-0.4,0
-0.3,0
-0.2,0
-0.1,0
0,0
0.1,2
0.2,1
0.3,3
0.4,2
0.5,1
0.6,4
0.7,4
0.8,7
0.9,33
1,23

Figure 5b,
Upper bound,Frequency
-1,0
-0.9,0
-0.8,0
-0.7,0
-0.6,0
-0.5,0
-0.4,0
-0.3,0
-0.2,0
-0.1,0
0,0
0.1,0
0.2,1
0.3,4
0.4,1
0.5,0
0.6,1
0.7,1
0.8,0
0.9,6
1,27

Figure A4.1a,
Upper bound,Frequency
-1,0
-0.9,1
-0.8,1
-0.7,0
-0.6,0
-0.5,1
-0.4,1
-0.3,2
-0.2,0
-0.1,2
0,0
0.1,4
0.2,0
0.3,2
0.4,2
0.5,4
0.6,9
0.7,7
0.8,20
0.9,32
1,11

Figure A4.1b,
Upper bound,Frequency
-1,0
-0.9,0
-0.8,0
-0.7,0
-0.6,0
-0.5,0
-0.4,1
-0.3,0
-0.2,1
-0.1,0
0,3
