Newcastle City Council Invoices over £500 paid in May 2010,,,,,,

Directorate,Service Area,Payment Date,Supplier Name,Internal Ref,Capital/ Revenue,Grand Total
Adult and Culture,Ad Serv-Welfare Rights-    ,26/05/10,ADT FIRE & SECURITY,4677407,Revenue,545.26
Adult and Culture,Adult - Learning & Development   ,20/05/10,HANDS-FREE COMPUTING,4667629,Revenue,707.00
Adult and Culture,Adult - Learning & Development   ,05/05/10,IN-TRAC,4651764,Revenue,1737.95
Adult and Culture,Adult - Learning & Development   ,06/05/10,IN-TRAC,4652650,Revenue,1940.95
Adult and Culture,Adult Serv Admin Support   ,18/05/10,ADDACTION,4667703,Revenue,114466.00
Adult and Culture,Adult Serv Admin Support   ,17/05/10,I TO I TRAINING,4665942,Revenue,9600.00
Adult and Culture,Adult Serv Admin Support   ,17/05/10,I TO I TRAINING,4665943,Revenue,1100.00
Adult and Culture,Adult Serv Admin Support   ,12/05/10,N POWER NORTHERN LTD,4660804,Revenue,2168.70
Adult and Culture,Adult Serv Admin Support   ,17/05/10,TYNESIDE CYRENIANS DAYCENTRE,4665815,Revenue,14240.60
Adult and Culture,Adult Serv Byker Lodge     ,20/05/10,SOLK FURNITURE LTD,4632747,Revenue,624.00
Adult and Culture,Adult Serv Capability's    ,10/05/10,CLAVERING STATIONERS,4648378,Revenue,1253.00
Adult and Culture,Adult Serv Capability's    ,13/05/10,HEATON CATERING EQUIPMENT LTD,4658407,Revenue,516.08
Adult and Culture,Adult Serv Capability's    ,19/05/10,JOHN LEWIS PARTNERSHIP,4669652,Revenue,3664.71
Adult and Culture,Adult Serv Chirton House   ,03/05/10,N POWER NORTHERN LTD,4648527,Revenue,988.42
Adult and Culture,Adult Serv Finance         ,12/05/10,CARE QUALITY COMMISSION,4660881,Revenue,990.00
Adult and Culture,Adult Serv Finance         ,03/05/10,CHEVIOT HOUSING ASS. LTD.,4648382,Revenue,18250.14
Adult and Culture,Adult Serv Finance         ,03/05/10,INSTITUTE OF PUBLIC CARE,4633371,Revenue,3000.00
Adult and Culture,Adult Serv Finance         ,17/05/10,JOHN MONK & CO,4665821,Revenue,805.66
Adult and Culture,Adult Serv Finance         ,05/05/10,N POWER NORTHERN LTD,4651768,Revenue,1647.38
Adult and Culture,Adult Serv Finance         ,12/05/10,N POWER NORTHERN LTD,4660889,Revenue,558.96
Adult and Culture,Adult Serv Finance         ,18/05/10,N POWER NORTHERN LTD,4667704,Revenue,761.03
Adult and Culture,Adult Serv Finance         ,18/05/10,N POWER NORTHERN LTD,4667705,Revenue,958.42
