Minister,Date,To,Gift,Value (over £140)
Rt Hon William Hague Secretary of State for Foreign and Commonwealth Affairs,,,,None
Rt Hon Hugh Robertson Minister of State,,,,None
Senior Minister of State Rt Hon Baroness Warsi,,,,None
Parliamentary Under-Secretary of State Mark Simmonds MP,,,,None
Minister of State David Lidington MP,,,,None
Rt Hon Hugo Swire MP Minister of State,,,,None
