Department,Entity,Date of Payment,Expense Type,Project,Expense Area,Supplier,Transaction Number,Amount,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,27/10/2014,PLANT & EQUIPMENT,23151,FUSION,1st Choice Leisure Buildings,1900060458,4408.33,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,29/10/2014,PLANT SPARES,23125,FUSION,A D INSTALLATION LTD,5100311514,650.00,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/11/2014,PLANT SPARES,23125,FUSION,A D INSTALLATION LTD,5100312696,3100.00,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,27/10/2014,PLANT SPARES,25103,FUSION,A W CLARKE,5100310846,32.80,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,27/10/2014,PLANT SPARES,25103,FUSION,A W CLARKE,5100310847,209.10,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,29/10/2014,PLANT SPARES,25103,FUSION,A W CLARKE,5100311050,21035.00,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,27/10/2014,PLANT SPARES,25103,FUSION,A W CLARKE,5100311371,42.50,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,27/10/2014,PLANT SPARES,25103,FUSION,A W CLARKE,5100311372,78.30,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,27/10/2014,PLANT SPARES,25103,FUSION,A W CLARKE,5100311373,42.50,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,27/10/2014,PLANT SPARES,25103,FUSION,A W CLARKE,5100311578,439.50,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,27/10/2014,PLANT SPARES,25103,FUSION,A W CLARKE,5100311580,1957.50,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,12/11/2014,PLANT SPARES,25103,FUSION,A W CLARKE,5100312196,662.40,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,12/11/2014,PLANT SPARES,25103,FUSION,A W CLARKE,5100312197,5412.00,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,12/11/2014,PLANT SPARES,25103,FUSION,A W CLARKE,5100312198,2190.00,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,27/10/2014,MATERIALS & SPARES,29030,FUSION,A1-CBISS Ltd,5100311462,35.00,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,10/11/2014,PLANT & EQUIPMENT,23106,FUSION,AALCO LIMITED,5100312123,295.00,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,12/11/2014,PLANT & EQUIPMENT,23106,FUSION,AALCO LIMITED,5100312319,260.00,,
United Kingdom Atomic Energy Authority,United Kingdom Atomic Energy Authority,17/11/2014,PLANT & EQUIPMENT,23106,FUSION,AALCO LIMITED,5100312405,150.00,,
