Date of Payment,Expense type,Expense Area,Supplier,Transaction number,Amount,Department and Entity,Department and Entity
26/10/2013,MILEAGE ALLOWANCE,SUPPORT SERVICES,EMPLOYEE EXPENSES,100700352,12.60,United Kingdom Energy Authority,United Kingdom Energy Authority
13/10/2013,MILEAGE ALLOWANCE,SUPPORT SERVICES,EMPLOYEE EXPENSES,100700123,13.50,United Kingdom Energy Authority,United Kingdom Energy Authority
13/10/2013,MILEAGE ALLOWANCE,SUPPORT SERVICES,EMPLOYEE EXPENSES,100700124,13.50,United Kingdom Energy Authority,United Kingdom Energy Authority
13/10/2013,MILEAGE ALLOWANCE,SUPPORT SERVICES,EMPLOYEE EXPENSES,100700125,13.50,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,MILEAGE ALLOWANCE,SUPPORT SERVICES,EMPLOYEE EXPENSES,100700006,18.00,United Kingdom Energy Authority,United Kingdom Energy Authority
11/10/2013,MILEAGE ALLOWANCE,FUSION,EMPLOYEE EXPENSES,100700080,18.00,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,MILEAGE ALLOWANCE,FUSION,EMPLOYEE EXPENSES,100699995,18.00,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,MILEAGE ALLOWANCE,FUSION,EMPLOYEE EXPENSES,100700025,18.60,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,MILEAGE ALLOWANCE,SUPPORT SERVICES,EMPLOYEE EXPENSES,100699977,21.60,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,MILEAGE ALLOWANCE,FUSION,EMPLOYEE EXPENSES,100699969,25.65,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,MILEAGE ALLOWANCE,SUPPORT SERVICES,EMPLOYEE EXPENSES,100700026,27.00,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,MILEAGE ALLOWANCE,FUSION,EMPLOYEE EXPENSES,100700171,30.60,United Kingdom Energy Authority,United Kingdom Energy Authority
26/10/2013,MILEAGE ALLOWANCE,FUSION,EMPLOYEE EXPENSES,100700349,34.20,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,MILEAGE ALLOWANCE,FUSION,EMPLOYEE EXPENSES,100699985,36.00,United Kingdom Energy Authority,United Kingdom Energy Authority
26/10/2013,MILEAGE ALLOWANCE,FUSION,EMPLOYEE EXPENSES,100700368,42.75,United Kingdom Energy Authority,United Kingdom Energy Authority
11/10/2013,MILEAGE ALLOWANCE,SUPPORT SERVICES,EMPLOYEE EXPENSES,100700072,45.54,United Kingdom Energy Authority,United Kingdom Energy Authority
26/10/2013,MILEAGE ALLOWANCE,FUSION,EMPLOYEE EXPENSES,100700362,47.70,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,MILEAGE ALLOWANCE,FUSION,EMPLOYEE EXPENSES,100699972,54.00,United Kingdom Energy Authority,United Kingdom Energy Authority
11/10/2013,MILEAGE ALLOWANCE,FUSION,EMPLOYEE EXPENSES,100700071,54.00,United Kingdom Energy Authority,United Kingdom Energy Authority
13/10/2013,MILEAGE ALLOWANCE,FUSION,EMPLOYEE EXPENSES,100700111,54.00,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,MILEAGE ALLOWANCE,FUSION,EMPLOYEE EXPENSES,100700166,54.00,United Kingdom Energy Authority,United Kingdom Energy Authority
11/10/2013,MILEAGE ALLOWANCE,SUPPORT SERVICES,EMPLOYEE EXPENSES,100700093,58.50,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,MILEAGE ALLOWANCE,FUSION,EMPLOYEE EXPENSES,100700172,58.50,United Kingdom Energy Authority,United Kingdom Energy Authority
26/10/2013,MILEAGE ALLOWANCE,FUSION,EMPLOYEE EXPENSES,100700363,58.50,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,MILEAGE ALLOWANCE,FUSION,EMPLOYEE EXPENSES,100699993,60.30,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,MILEAGE ALLOWANCE,FUSION,EMPLOYEE EXPENSES,100699994,60.30,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,MILEAGE ALLOWANCE,FUSION,EMPLOYEE EXPENSES,100700183,62.55,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,MILEAGE ALLOWANCE,FUSION,EMPLOYEE EXPENSES,100700186,66.60,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,MILEAGE ALLOWANCE,FUSION,EMPLOYEE EXPENSES,100700187,66.60,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,MILEAGE ALLOWANCE,FUSION,EMPLOYEE EXPENSES,100700188,69.30,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,MILEAGE ALLOWANCE,FUSION,EMPLOYEE EXPENSES,100700189,69.30,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,MILEAGE ALLOWANCE,FUSION,EMPLOYEE EXPENSES,100700190,69.30,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,MILEAGE ALLOWANCE,FUSION,EMPLOYEE EXPENSES,100700000,69.75,United Kingdom Energy Authority,United Kingdom Energy Authority
26/10/2013,MILEAGE ALLOWANCE,FUSION,EMPLOYEE EXPENSES,100700378,69.75,United Kingdom Energy Authority,United Kingdom Energy Authority
26/10/2013,MILEAGE ALLOWANCE,FUSION,EMPLOYEE EXPENSES,100700379,69.75,United Kingdom Energy Authority,United Kingdom Energy Authority
26/10/2013,MILEAGE ALLOWANCE,FUSION,EMPLOYEE EXPENSES,100700380,69.75,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,MILEAGE ALLOWANCE,FUSION,EMPLOYEE EXPENSES,100700170,72.00,United Kingdom Energy Authority,United Kingdom Energy Authority
26/10/2013,MILEAGE ALLOWANCE,FUSION,EMPLOYEE EXPENSES,100700366,72.96,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,MILEAGE ALLOWANCE,SUPPORT SERVICES,EMPLOYEE EXPENSES,100700010,96.30,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,MILEAGE ALLOWANCE,SUPPORT SERVICES,EMPLOYEE EXPENSES,100700011,96.30,United Kingdom Energy Authority,United Kingdom Energy Authority
11/10/2013,MILEAGE ALLOWANCE,FUSION,EMPLOYEE EXPENSES,100700077,107.10,United Kingdom Energy Authority,United Kingdom Energy Authority
11/10/2013,MILEAGE ALLOWANCE,FUSION,EMPLOYEE EXPENSES,100700100,159.30,United Kingdom Energy Authority,United Kingdom Energy Authority
11/10/2013,MILEAGE ALLOWANCE,FUSION,EMPLOYEE EXPENSES,100700075,190.80,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,MILEAGE ALLOWANCE,FUSION,EMPLOYEE EXPENSES,100699976,287.10,United Kingdom Energy Authority,United Kingdom Energy Authority
13/10/2013,OTHER EMPLOYEE EXPENSES,FUSION,EMPLOYEE EXPENSES,100700122,1.25,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,OTHER EMPLOYEE EXPENSES,FUSION,EMPLOYEE EXPENSES,100700173,1.99,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,OTHER EMPLOYEE EXPENSES,FUSION,EMPLOYEE EXPENSES,100700173,2.00,United Kingdom Energy Authority,United Kingdom Energy Authority
26/10/2013,OTHER EMPLOYEE EXPENSES,FUSION,EMPLOYEE EXPENSES,100700353,2.37,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,OTHER EMPLOYEE EXPENSES,FUSION,EMPLOYEE EXPENSES,100700184,3.00,United Kingdom Energy Authority,United Kingdom Energy Authority
11/10/2013,OTHER EMPLOYEE EXPENSES,FUSION,EMPLOYEE EXPENSES,100700084,3.00,United Kingdom Energy Authority,United Kingdom Energy Authority
26/10/2013,OTHER EMPLOYEE EXPENSES,FUSION,EMPLOYEE EXPENSES,100700359,3.01,United Kingdom Energy Authority,United Kingdom Energy Authority
26/10/2013,OTHER EMPLOYEE EXPENSES,FUSION,EMPLOYEE EXPENSES,100700357,3.16,United Kingdom Energy Authority,United Kingdom Energy Authority
26/10/2013,OTHER EMPLOYEE EXPENSES,FUSION,EMPLOYEE EXPENSES,100700370,3.85,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,OTHER EMPLOYEE EXPENSES,FUSION,EMPLOYEE EXPENSES,100699968,3.90,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,OTHER EMPLOYEE EXPENSES,FUSION,EMPLOYEE EXPENSES,100699969,3.99,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,OTHER EMPLOYEE EXPENSES,FUSION,EMPLOYEE EXPENSES,100700165,3.99,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,OTHER EMPLOYEE EXPENSES,FUSION,EMPLOYEE EXPENSES,100700002,4.03,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,OTHER EMPLOYEE EXPENSES,FUSION,EMPLOYEE EXPENSES,100699997,4.33,United Kingdom Energy Authority,United Kingdom Energy Authority
13/10/2013,OTHER EMPLOYEE EXPENSES,FUSION,EMPLOYEE EXPENSES,100700115,4.72,United Kingdom Energy Authority,United Kingdom Energy Authority
26/10/2013,OTHER EMPLOYEE EXPENSES,FUSION,EMPLOYEE EXPENSES,100700363,4.83,United Kingdom Energy Authority,United Kingdom Energy Authority
26/10/2013,OTHER EMPLOYEE EXPENSES,SUPPORT SERVICES,EMPLOYEE EXPENSES,100700384,5.05,United Kingdom Energy Authority,United Kingdom Energy Authority
26/10/2013,OTHER EMPLOYEE EXPENSES,FUSION,EMPLOYEE EXPENSES,100700362,5.66,United Kingdom Energy Authority,United Kingdom Energy Authority
26/10/2013,OTHER EMPLOYEE EXPENSES,FUSION,EMPLOYEE EXPENSES,100700356,6.64,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,OTHER EMPLOYEE EXPENSES,FUSION,EMPLOYEE EXPENSES,100700196,6.90,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,OTHER EMPLOYEE EXPENSES,FUSION,EMPLOYEE EXPENSES,100699975,8.88,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,OTHER EMPLOYEE EXPENSES,FUSION,EMPLOYEE EXPENSES,100700198,10.00,United Kingdom Energy Authority,United Kingdom Energy Authority
11/10/2013,OTHER EMPLOYEE EXPENSES,FUSION,EMPLOYEE EXPENSES,100700090,13.54,United Kingdom Energy Authority,United Kingdom Energy Authority
13/10/2013,OTHER EMPLOYEE EXPENSES,FUSION,EMPLOYEE EXPENSES,100700121,17.77,United Kingdom Energy Authority,United Kingdom Energy Authority
13/10/2013,OTHER EMPLOYEE EXPENSES,FUSION,EMPLOYEE EXPENSES,100700120,20.00,United Kingdom Energy Authority,United Kingdom Energy Authority
11/10/2013,OTHER EMPLOYEE EXPENSES,FUSION,EMPLOYEE EXPENSES,100700076,66.00,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,OTHER EMPLOYEE EXPENSES,FUSION,EMPLOYEE EXPENSES,100700175,84.00,United Kingdom Energy Authority,United Kingdom Energy Authority
11/10/2013,OTHER EMPLOYEE EXPENSES,FUSION,EMPLOYEE EXPENSES,100700081,87.34,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,OTHER EMPLOYEE EXPENSES,FUSION,EMPLOYEE EXPENSES,100700176,109.18,United Kingdom Energy Authority,United Kingdom Energy Authority
11/10/2013,OTHER EMPLOYEE EXPENSES,FUSION,EMPLOYEE EXPENSES,100700094,114.83,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,OTHER EMPLOYEE EXPENSES,FUSION,EMPLOYEE EXPENSES,100700191,133.00,United Kingdom Energy Authority,United Kingdom Energy Authority
11/10/2013,OTHER EMPLOYEE EXPENSES,FUSION,EMPLOYEE EXPENSES,100700095,195.00,United Kingdom Energy Authority,United Kingdom Energy Authority
26/10/2013,OTHER EMPLOYEE EXPENSES,FUSION,EMPLOYEE EXPENSES,100700365,198.63,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,OTHER EMPLOYEE EXPENSES,FUSION,EMPLOYEE EXPENSES,100699997,297.55,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,OTHER EMPLOYEE EXPENSES,FUSION,EMPLOYEE EXPENSES,100700204,439.03,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,POSTAGE & DISTRIBUTION,FUSION,EMPLOYEE EXPENSES,100700175,12.44,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,PROFESSIONAL SUBSCRIPTION,FUSION,EMPLOYEE EXPENSES,100700173,49.02,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,PROFESSIONAL SUBSCRIPTION,FUSION,EMPLOYEE EXPENSES,100700173,49.02,United Kingdom Energy Authority,United Kingdom Energy Authority
26/10/2013,PROFESSIONAL SUBSCRIPTION,FUSION,EMPLOYEE EXPENSES,100700382,60.00,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,PROFESSIONAL SUBSCRIPTION,SUPPORT SERVICES,EMPLOYEE EXPENSES,100699996,84.00,United Kingdom Energy Authority,United Kingdom Energy Authority
11/10/2013,PROFESSIONAL SUBSCRIPTION,SUPPORT SERVICES,EMPLOYEE EXPENSES,100700085,131.00,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,PROFESSIONAL SUBSCRIPTION,FUSION,EMPLOYEE EXPENSES,100699982,139.50,United Kingdom Energy Authority,United Kingdom Energy Authority
26/10/2013,PROFESSIONAL SUBSCRIPTION,FUSION,EMPLOYEE EXPENSES,100700372,144.90,United Kingdom Energy Authority,United Kingdom Energy Authority
26/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700353,1.20,United Kingdom Energy Authority,United Kingdom Energy Authority
26/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700376,2.10,United Kingdom Energy Authority,United Kingdom Energy Authority
26/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700364,2.20,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100699971,2.55,United Kingdom Energy Authority,United Kingdom Energy Authority
26/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700368,3.28,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100699968,3.36,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100699967,3.38,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100699997,4.21,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700204,4.22,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700017,5.05,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700164,6.06,United Kingdom Energy Authority,United Kingdom Energy Authority
11/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700089,6.44,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700173,8.73,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700173,8.74,United Kingdom Energy Authority,United Kingdom Energy Authority
11/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700091,9.44,United Kingdom Energy Authority,United Kingdom Energy Authority
13/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700122,11.00,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700007,11.55,United Kingdom Energy Authority,United Kingdom Energy Authority
13/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700110,11.71,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100699997,13.20,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100699969,13.87,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700176,18.72,United Kingdom Energy Authority,United Kingdom Energy Authority
11/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700087,20.11,United Kingdom Energy Authority,United Kingdom Energy Authority
26/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700371,21.70,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700165,21.98,United Kingdom Energy Authority,United Kingdom Energy Authority
26/10/2013,RAIL TRAVEL,SUPPORT SERVICES,EMPLOYEE EXPENSES,100700386,23.40,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700008,27.70,United Kingdom Energy Authority,United Kingdom Energy Authority
13/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700121,27.70,United Kingdom Energy Authority,United Kingdom Energy Authority
11/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700081,31.86,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700021,33.50,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700022,33.50,United Kingdom Energy Authority,United Kingdom Energy Authority
26/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700376,33.70,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700024,36.00,United Kingdom Energy Authority,United Kingdom Energy Authority
13/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700122,38.20,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100699974,46.00,United Kingdom Energy Authority,United Kingdom Energy Authority
11/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700097,50.25,United Kingdom Energy Authority,United Kingdom Energy Authority
11/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700096,51.75,United Kingdom Energy Authority,United Kingdom Energy Authority
26/10/2013,RAIL TRAVEL,SUPPORT SERVICES,EMPLOYEE EXPENSES,100700387,52.10,United Kingdom Energy Authority,United Kingdom Energy Authority
11/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700076,55.40,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700174,56.40,United Kingdom Energy Authority,United Kingdom Energy Authority
11/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700094,56.40,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700015,61.30,United Kingdom Energy Authority,United Kingdom Energy Authority
26/10/2013,RAIL TRAVEL,SUPPORT SERVICES,EMPLOYEE EXPENSES,100700383,62.40,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700192,62.40,United Kingdom Energy Authority,United Kingdom Energy Authority
11/10/2013,RAIL TRAVEL,SUPPORT SERVICES,EMPLOYEE EXPENSES,100700073,62.40,United Kingdom Energy Authority,United Kingdom Energy Authority
26/10/2013,RAIL TRAVEL,SUPPORT SERVICES,EMPLOYEE EXPENSES,100700352,62.40,United Kingdom Energy Authority,United Kingdom Energy Authority
11/10/2013,RAIL TRAVEL,SUPPORT SERVICES,EMPLOYEE EXPENSES,100700078,63.00,United Kingdom Energy Authority,United Kingdom Energy Authority
11/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700102,63.70,United Kingdom Energy Authority,United Kingdom Energy Authority
11/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700091,68.70,United Kingdom Energy Authority,United Kingdom Energy Authority
11/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700101,69.20,United Kingdom Energy Authority,United Kingdom Energy Authority
26/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700385,69.39,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700018,75.82,United Kingdom Energy Authority,United Kingdom Energy Authority
11/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700095,77.30,United Kingdom Energy Authority,United Kingdom Energy Authority
11/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700098,78.14,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700206,87.85,United Kingdom Energy Authority,United Kingdom Energy Authority
13/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700117,92.20,United Kingdom Energy Authority,United Kingdom Energy Authority
11/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700099,100.00,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700203,119.34,United Kingdom Energy Authority,United Kingdom Energy Authority
26/10/2013,RAIL TRAVEL,FUSION,EMPLOYEE EXPENSES,100700363,123.68,United Kingdom Energy Authority,United Kingdom Energy Authority
26/10/2013,RAIL TRAVEL,SUPPORT SERVICES,EMPLOYEE EXPENSES,100700384,181.79,United Kingdom Energy Authority,United Kingdom Energy Authority
11/10/2013,RELOCATION EXPENSES,FUSION,EMPLOYEE EXPENSES,100700086,1.83,United Kingdom Energy Authority,United Kingdom Energy Authority
13/10/2013,RELOCATION EXPENSES,FUSION,EMPLOYEE EXPENSES,100700119,31.50,United Kingdom Energy Authority,United Kingdom Energy Authority
11/10/2013,RELOCATION EXPENSES,FUSION,EMPLOYEE EXPENSES,100700089,152.53,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,RELOCATION EXPENSES,SUPPORT SERVICES,EMPLOYEE EXPENSES,100700199,198.00,United Kingdom Energy Authority,United Kingdom Energy Authority
11/10/2013,ROAD TRAVEL,SUPPORT SERVICES,EMPLOYEE EXPENSES,100700072,0.32,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,ROAD TRAVEL,FUSION,EMPLOYEE EXPENSES,100699995,1.00,United Kingdom Energy Authority,United Kingdom Energy Authority
26/10/2013,ROAD TRAVEL,FUSION,EMPLOYEE EXPENSES,100700368,1.09,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,ROAD TRAVEL,SUPPORT SERVICES,EMPLOYEE EXPENSES,100699973,1.25,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,ROAD TRAVEL,SUPPORT SERVICES,EMPLOYEE EXPENSES,100699973,1.25,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,ROAD TRAVEL,FUSION,EMPLOYEE EXPENSES,100700164,1.26,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,ROAD TRAVEL,FUSION,EMPLOYEE EXPENSES,100700172,1.50,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,ROAD TRAVEL,FUSION,EMPLOYEE EXPENSES,100699979,1.50,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,ROAD TRAVEL,FUSION,EMPLOYEE EXPENSES,100700017,1.68,United Kingdom Energy Authority,United Kingdom Energy Authority
26/10/2013,ROAD TRAVEL,FUSION,EMPLOYEE EXPENSES,100700362,2.00,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,ROAD TRAVEL,FUSION,EMPLOYEE EXPENSES,100699976,2.00,United Kingdom Energy Authority,United Kingdom Energy Authority
11/10/2013,ROAD TRAVEL,SUPPORT SERVICES,EMPLOYEE EXPENSES,100700073,2.50,United Kingdom Energy Authority,United Kingdom Energy Authority
11/10/2013,ROAD TRAVEL,SUPPORT SERVICES,EMPLOYEE EXPENSES,100700072,3.68,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,ROAD TRAVEL,FUSION,EMPLOYEE EXPENSES,100699988,4.00,United Kingdom Energy Authority,United Kingdom Energy Authority
13/10/2013,ROAD TRAVEL,FUSION,EMPLOYEE EXPENSES,100700121,4.00,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,ROAD TRAVEL,FUSION,EMPLOYEE EXPENSES,100700205,4.20,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,ROAD TRAVEL,SUPPORT SERVICES,EMPLOYEE EXPENSES,100700167,4.30,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,ROAD TRAVEL,SUPPORT SERVICES,EMPLOYEE EXPENSES,100700168,4.30,United Kingdom Energy Authority,United Kingdom Energy Authority
26/10/2013,ROAD TRAVEL,SUPPORT SERVICES,EMPLOYEE EXPENSES,100700352,4.75,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,ROAD TRAVEL,FUSION,EMPLOYEE EXPENSES,100700002,4.96,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,ROAD TRAVEL,FUSION,EMPLOYEE EXPENSES,100699970,5.00,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,ROAD TRAVEL,FUSION,EMPLOYEE EXPENSES,100700175,5.26,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,ROAD TRAVEL,FUSION,EMPLOYEE EXPENSES,100700007,5.30,United Kingdom Energy Authority,United Kingdom Energy Authority
19/10/2013,ROAD TRAVEL,FUSION,EMPLOYEE EXPENSES,100700185,5.40,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,ROAD TRAVEL,FUSION,EMPLOYEE EXPENSES,100699989,5.60,United Kingdom Energy Authority,United Kingdom Energy Authority
04/10/2013,ROAD TRAVEL,SUPPORT SERVICES,EMPLOYEE EXPENSES,100699978,6.00,United Kingdom Energy Authority,United Kingdom Energy Authority
13/10/2013,ROAD TRAVEL,FUSION,EMPLOYEE EXPENSES,100700110,6.00,United Kingdom Energy Authority,United Kingdom Energy Authority
11/10/2013,ROAD TRAVEL,FUSION,EMPLOYEE EXPENSES,100700094,6.00,United Kingdom Energy Authority,United Kingdom Energy Authority
26/10/2013,ROAD TRAVEL,SUPPORT SERVICES,EMPLOYEE EXPENSES,100700386,6.10,United Kingdom Energy Authority,United Kingdom Energy Authority
26/10/2013,ROAD TRAVEL,SUPPORT SERVICES,EMPLOYEE EXPENSES,100700383,6.20,United Kingdom Energy Authority,United Kingdom Energy Authority
13/10/2013,ROAD TRAVEL,FUSION,EMPLOYEE EXPENSES,100700113,6.20,United Kingdom Energy Authority,United Kingdom Energy Authority
11/10/2013,ROAD TRAVEL,FUSION,EMPLOYEE EXPENSES,100700081,6.34,United Kingdom Energy Authority,United Kingdom Energy Authority
11/10/2013,ROAD TRAVEL,SUPPORT SERVICES,EMPLOYEE EXPENSES,100700078,6.40,United Kingdom Energy Authority,United Kingdom Energy Authority
