objectid,nuts115cd,nuts115nm,st_areashape,st_lengthshape
1,UKC,North East (England),8591723385.09569,1038157.68528706
2,UKD,North West (England),14162269135.1268,2031653.1637776
3,UKE,Yorkshire and The Humber,15409097065.3127,1385137.96828024
4,UKF,East Midlands (England),15643272139.4307,1332318.62917062
5,UKG,West Midlands (England),13003740177.3481,953885.033384378
6,UKH,East of England,19135071861.3353,2589176.46617872
7,UKI,London,1573506942.80747,420286.745728063
8,UKJ,South East (England),19088196634.2331,2433571.38013418
9,UKK,South West (England),23851422262.4502,3391511.76772407
10,UKL,Wales,20780096482.574,3080859.87996227
