Species,InspectionType,Condition,YearMonth,Country,NumberOfConditions,Throughput,NumberOfThroughputPlants,PercentageOfThroughput
Goats,AnteMortem,Abnormal Respiratory Signs,2017-07,England,7,1149,67,0.609
Goats,AnteMortem,Abnormal Respiratory Signs,2017-08,England,3,1116,65,0.269
Goats,AnteMortem,Abnormal Respiratory Signs,2017-09,England,24,1495,75,1.605
Goats,AnteMortem,Dead in Lairage (DIL),2017-08,England,1,1116,65,0.09
Goats,AnteMortem,Emaciation,2017-07,England,5,1149,67,0.435
Goats,AnteMortem,Emaciation,2017-08,England,5,1116,65,0.448
Goats,AnteMortem,Emaciation,2017-09,England,1,1495,75,0.067
Goats,AnteMortem,Eye Condition,2017-07,England,1,1149,67,0.087
Goats,AnteMortem,Eye Condition,2017-08,England,1,1116,65,0.09
Goats,AnteMortem,Lameness - Foot Lesion(s),2017-07,England,1,1149,67,0.087
Goats,AnteMortem,Lameness - Foot Lesion(s),2017-08,England,13,1116,65,1.165
Goats,AnteMortem,Lameness - Foot Lesion(s),2017-09,England,2,1495,75,0.134
Goats,AnteMortem,Lameness - Joint/Leg Lesion(s),2017-07,England,9,1149,67,0.783
Goats,AnteMortem,Lameness - Joint/Leg Lesion(s),2017-08,England,4,1116,65,0.358
Goats,AnteMortem,Lameness - Joint/Leg Lesion(s),2017-09,England,2,1495,75,0.134
Goats,AnteMortem,Lameness - Not Defined,2017-07,England,2,1149,67,0.174
Goats,AnteMortem,Lameness - Not Defined,2017-08,England,2,1116,65,0.179
Goats,AnteMortem,"Localised Swelling/ Lumps (e.g. Abscess, Tumour)",2017-07,England,7,1149,67,0.609
Goats,AnteMortem,"Localised Swelling/ Lumps (e.g. Abscess, Tumour)",2017-09,England,3,1495,75,0.201
Goats,AnteMortem,Mastitis,2017-07,England,4,1149,67,0.348
Goats,AnteMortem,Mastitis,2017-08,England,1,1116,65,0.09
Goats,AnteMortem,Mastitis,2017-09,England,2,1495,75,0.134
Goats,AnteMortem,Moribund/ Recumbent,2017-07,England,1,1149,67,0.087
Goats,AnteMortem,Other *,2017-07,England,5,1149,67,0.435
Goats,AnteMortem,Other *,2017-09,England,1,1495,75,0.067
Goats,AnteMortem,Skin Condition,2017-07,England,3,1149,67,0.261
Goats,AnteMortem,Skin Condition,2017-09,England,1,1495,75,0.067
Goats,AnteMortem,Slaughtered in Lairage,2017-07,England,1,1149,67,0.087
Goats,Carcase,Abscess Forequarters,2017-07,England,7,1149,67,0.609
Goats,Carcase,Abscess Forequarters,2017-08,England,30,1116,65,2.688
Goats,Carcase,Abscess Forequarters,2017-09,England,8,1495,75,0.535
Goats,Carcase,Abscess Hindquarters,2017-07,England,4,1149,67,0.348
Goats,Carcase,Abscess Hindquarters,2017-08,England,1,1116,65,0.09
Goats,Carcase,Abscess Neck,2017-07,England,3,1149,67,0.261
Goats,Carcase,Abscess Neck,2017-08,England,14,1116,65,1.254
Goats,Carcase,Abscess Neck,2017-09,England,7,1495,75,0.468
Goats,Carcase,Bruising ? Traumatic,2017-09,England,1,1495,75,0.067
Goats,Carcase,Contamination,2017-07,England,4,1149,67,0.348
Goats,Carcase,Contamination,2017-08,England,15,1116,65,1.344
Goats,Carcase,Contamination,2017-09,England,11,1495,75,0.736
Goats,Carcase,Contamination,2017-07,Wales,1,33,5,3.03
Goats,Carcase,Cysticercus ovis (Carcase),2017-07,England,1,1149,67,0.087
Goats,Carcase,Cysticercus ovis (Carcase),2017-08,England,1,1116,65,0.09
Goats,Carcase,Joint Lesions,2017-07,England,9,1149,67,0.783
Goats,Carcase,Joint Lesions,2017-08,England,7,1116,65,0.627
Goats,Carcase,Joint Lesions,2017-09,England,5,1495,75,0.334
Goats,Carcase,Other,2017-07,England,3,1149,67,0.261
Goats,Carcase,Other,2017-08,England,11,1116,65,0.986
Goats,Carcase,Other,2017-09,England,1,1495,75,0.067
Goats,Offal,Contamination,2017-07,England,5,1149,67,0.435
Goats,Offal,Contamination,2017-08,England,10,1116,65,0.896
Goats,Offal,Contamination,2017-09,England,3,1495,75,0.201
Goats,Offal,Contamination,2017-07,Wales,1,33,5,3.03
Goats,Offal,Cysticercus ovis (Offal),2017-07,England,1,1149,67,0.087
Goats,Offal,Cysticercus ovis (Offal),2017-09,England,3,1495,75,0.201
Goats,Offal,Cysticercus ovis (Offal),2017-07,Wales,1,33,5,3.03
Goats,Offal,Cysticercus tenuicollis,2017-07,England,23,1149,67,2.002
Goats,Offal,Cysticercus tenuicollis,2017-08,England,12,1116,65,1.075
Goats,Offal,Cysticercus tenuicollis,2017-09,England,24,1495,75,1.605
Goats,Offal,Cysticercus tenuicollis,2017-08,Wales,2,39,6,5.128
Goats,Offal,Fluke Immature,2017-08,England,1,1116,65,0.09
Goats,Offal,Fluke Immature,2017-09,England,1,1495,75,0.067
Goats,Offal,Fluke Mature,2017-07,England,2,1149,67,0.174
Goats,Offal,Fluke Mature,2017-08,England,13,1116,65,1.165
Goats,Offal,Fluke Mature,2017-09,England,8,1495,75,0.535
Goats,Offal,Fluke Mature,2017-07,Wales,2,33,5,6.061
Goats,Offal,Fluke Mature,2017-08,Wales,2,39,6,5.128
Goats,Offal,Fluke Mature,2017-09,Wales,4,36,6,11.111
Goats,Offal,Historic Liver Scarring,2017-07,England,9,1149,67,0.783
Goats,Offal,Historic Liver Scarring,2017-08,England,4,1116,65,0.358
Goats,Offal,Historic Liver Scarring,2017-09,England,5,1495,75,0.334
Goats,Offal,Lung Abscesses,2017-08,England,5,1116,65,0.448
Goats,Offal,Lung Abscesses,2017-09,England,2,1495,75,0.134
Goats,Offal,Lung Abscesses,2017-08,Wales,1,39,6,2.564
Goats,Offal,Lung Worm ,2017-07,England,16,1149,67,1.393
Goats,Offal,Lung Worm ,2017-08,England,20,1116,65,1.792
Goats,Offal,Lung Worm ,2017-09,England,26,1495,75,1.739
Goats,Offal,Lung Worm ,2017-07,Wales,3,33,5,9.091
Goats,Offal,Lung Worm ,2017-08,Wales,6,39,6,15.385
Goats,Offal,Lung Worm ,2017-09,Wales,2,36,6,5.556
Goats,Offal,Other,2017-07,England,5,1149,67,0.435
Goats,Offal,Other,2017-08,England,13,1116,65,1.165
Goats,Offal,Other,2017-09,England,51,1495,75,3.411
Goats,Offal,Other,2017-07,Wales,1,33,5,3.03
Goats,Offal,Pneumonia Mycoplasma Like,2017-07,England,21,1149,67,1.828
Goats,Offal,Pneumonia Mycoplasma Like,2017-08,England,37,1116,65,3.315
Goats,Offal,Pneumonia Mycoplasma Like,2017-09,England,68,1495,75,4.548
Goats,Offal,Pneumonia Mycoplasma Like,2017-07,Wales,4,33,5,12.121
Goats,Offal,Pneumonia Mycoplasma Like,2017-08,Wales,3,39,6,7.692
Goats,Offal,Pneumonia Mycoplasma Like,2017-09,Wales,3,36,6,8.333
Goats,Offal,Pneumonia Pasteurella Like,2017-07,England,10,1149,67,0.87
Goats,Offal,Pneumonia Pasteurella Like,2017-08,England,13,1116,65,1.165
Goats,Offal,Pneumonia Pasteurella Like,2017-09,England,10,1495,75,0.669
Goats,Offal,Pneumonia Pasteurella Like,2017-07,Wales,3,33,5,9.091
Goats,Total Rejection,Emaciation/Generalised Oedema,2017-08,England,3,1116,65,0.269
Goats,Total Rejection,Emaciation/Generalised Oedema,2017-09,England,1,1495,75,0.067
Goats,Total Rejection,Multiple Abscesses/Pyaemia,2017-09,England,1,1495,75,0.067
Goats,Total Rejection,Processing Fault,2017-07,England,1,1149,67,0.087
Goats,Total Rejection,Septicaemia/Fever,2017-07,England,3,1149,67,0.261
Goats,Total Rejection,Septicaemia/Fever,2017-09,England,2,1495,75,0.134
Sheep,AnteMortem,Abnormal Respiratory Signs,2017-07,England,4594,747005,146,0.615
Sheep,AnteMortem,Abnormal Respiratory Signs,2017-08,England,5342,874874,147,0.611
Sheep,AnteMortem,Abnormal Respiratory Signs,2017-09,England,4753,792010,144,0.6
Sheep,AnteMortem,Abnormal Respiratory Signs,2017-07,Wales,610,247016,19,0.247
Sheep,AnteMortem,Abnormal Respiratory Signs,2017-08,Wales,1156,313606,19,0.369
Sheep,AnteMortem,Abnormal Respiratory Signs,2017-09,Wales,1019,318229,19,0.32
Sheep,AnteMortem,Abnormal Swelling (e.g. Bloat),2017-07,England,47,747005,146,0.006
Sheep,AnteMortem,Abnormal Swelling (e.g. Bloat),2017-08,England,26,874874,147,0.003
Sheep,AnteMortem,Abnormal Swelling (e.g. Bloat),2017-09,England,57,792010,144,0.007
Sheep,AnteMortem,Dead in Lairage (DIL),2017-07,England,195,747005,146,0.026
Sheep,AnteMortem,Dead in Lairage (DIL),2017-08,England,196,874874,147,0.022
Sheep,AnteMortem,Dead in Lairage (DIL),2017-09,England,263,792010,144,0.033
Sheep,AnteMortem,Dead in Lairage (DIL),2017-07,Wales,19,247016,19,0.008
Sheep,AnteMortem,Dead in Lairage (DIL),2017-08,Wales,29,313606,19,0.009
Sheep,AnteMortem,Dead in Lairage (DIL),2017-09,Wales,36,318229,19,0.011
Sheep,AnteMortem,Dead on Arrival (DOA),2017-07,England,36,747005,146,0.005
Sheep,AnteMortem,Dead on Arrival (DOA),2017-08,England,38,874874,147,0.004
Sheep,AnteMortem,Dead on Arrival (DOA),2017-09,England,49,792010,144,0.006
Sheep,AnteMortem,Dead on Arrival (DOA),2017-07,Wales,2,247016,19,0.001
Sheep,AnteMortem,Dead on Arrival (DOA),2017-08,Wales,26,313606,19,0.008
Sheep,AnteMortem,Dead on Arrival (DOA),2017-09,Wales,23,318229,19,0.007
Sheep,AnteMortem,Dermatitis,2017-07,England,2,747005,146,0
Sheep,AnteMortem,Dermatitis,2017-08,England,1,874874,147,0
Sheep,AnteMortem,Diarrhoea,2017-07,England,1,747005,146,0
Sheep,AnteMortem,Emaciation,2017-07,England,154,747005,146,0.021
Sheep,AnteMortem,Emaciation,2017-08,England,174,874874,147,0.02
Sheep,AnteMortem,Emaciation,2017-09,England,121,792010,144,0.015
Sheep,AnteMortem,Emaciation,2017-07,Wales,2,247016,19,0.001
