Statement date,Gross Amount,Category Level 1
18.12.2017,500.00,"Advertising, Marketing & Media"
03.01.2018,500.00,"Advertising, Marketing & Media"
03.01.2018,500.00,"Advertising, Marketing & Media"
03.01.2018,500.00,"Advertising, Marketing & Media"
03.01.2018,500.00,"Advertising, Marketing & Media"
03.01.2018,500.00,"Advertising, Marketing & Media"
03.01.2018,500.00,"Advertising, Marketing & Media"
03.01.2018,500.00,"Advertising, Marketing & Media"
03.01.2018,500.00,"Advertising, Marketing & Media"
03.01.2018,500.00,"Advertising, Marketing & Media"
03.01.2018,500.00,"Advertising, Marketing & Media"
03.01.2018,500.00,"Advertising, Marketing & Media"
03.01.2018,500.00,"Advertising, Marketing & Media"
03.01.2018,500.00,"Advertising, Marketing & Media"
03.01.2018,500.00,"Advertising, Marketing & Media"
03.01.2018,500.00,"Advertising, Marketing & Media"
03.01.2018,500.00,"Advertising, Marketing & Media"
03.01.2018,500.00,"Advertising, Marketing & Media"
03.01.2018,500.20,"Advertising, Marketing & Media"
03.01.2018,500.85,"Advertising, Marketing & Media"
03.01.2018,504.34,"Travel, venue hire and exhibition services"
03.01.2018,506.45,Professional Services
03.01.2018,507.10,"Travel, venue hire and exhibition services"
03.01.2018,513.75,"Advertising, Marketing & Media"
03.01.2018,513.80,"Travel, venue hire and exhibition services"
03.01.2018,515.83,"Advertising, Marketing & Media"
18.12.2017,527.18,Facilities
03.01.2018,532.34,"Advertising, Marketing & Media"
03.01.2018,532.52,"Advertising, Marketing & Media"
03.01.2018,536.99,"Advertising, Marketing & Media"
03.01.2018,537.51,"Advertising, Marketing & Media"
03.01.2018,539.44,"Advertising, Marketing & Media"
03.01.2018,542.77,"Travel, venue hire and exhibition services"
03.01.2018,543.05,"Advertising, Marketing & Media"
03.01.2018,543.10,"Advertising, Marketing & Media"
03.01.2018,543.23,"Advertising, Marketing & Media"
03.01.2018,543.28,"Advertising, Marketing & Media"
03.01.2018,544.35,"Advertising, Marketing & Media"
03.01.2018,545.12,"Advertising, Marketing & Media"
03.01.2018,545.36,"Travel, venue hire and exhibition services"
03.01.2018,546.59,"Travel, venue hire and exhibition services"
03.01.2018,548.21,"Advertising, Marketing & Media"
18.12.2017,550.24,"Advertising, Marketing & Media"
03.01.2018,553.02,"Travel, venue hire and exhibition services"
18.12.2017,553.90,"Travel, venue hire and exhibition services"
03.01.2018,554.14,"Travel, venue hire and exhibition services"
03.01.2018,559.54,"Travel, venue hire and exhibition services"
03.01.2018,559.87,"Travel, venue hire and exhibition services"
03.01.2018,562.02,"Travel, venue hire and exhibition services"
03.01.2018,563.74,"Travel, venue hire and exhibition services"
03.01.2018,564.31,"Advertising, Marketing & Media"
03.01.2018,569.40,"Advertising, Marketing & Media"
03.01.2018,571.06,"Travel, venue hire and exhibition services"
03.01.2018,571.06,"Travel, venue hire and exhibition services"
03.01.2018,571.53,"Travel, venue hire and exhibition services"
03.01.2018,575.48,"Advertising, Marketing & Media"
03.01.2018,576.66,"Advertising, Marketing & Media"
03.01.2018,576.80,"Advertising, Marketing & Media"
03.01.2018,577.88,"Advertising, Marketing & Media"
03.01.2018,581.86,"Travel, venue hire and exhibition services"
03.01.2018,589.53,"Advertising, Marketing & Media"
03.01.2018,592.97,"Advertising, Marketing & Media"
03.01.2018,593.64,"Advertising, Marketing & Media"
03.01.2018,593.75,Facilities
03.01.2018,593.98,"Advertising, Marketing & Media"
03.01.2018,594.45,"Advertising, Marketing & Media"
03.01.2018,594.96,"Advertising, Marketing & Media"
18.12.2017,595.88,"Travel, venue hire and exhibition services"
03.01.2018,596.24,"Advertising, Marketing & Media"
03.01.2018,596.92,"Advertising, Marketing & Media"
03.01.2018,597.04,"Advertising, Marketing & Media"
03.01.2018,597.49,"Advertising, Marketing & Media"
03.01.2018,597.59,"Advertising, Marketing & Media"
03.01.2018,597.77,"Advertising, Marketing & Media"
03.01.2018,597.91,"Advertising, Marketing & Media"
03.01.2018,597.92,"Advertising, Marketing & Media"
03.01.2018,597.95,"Advertising, Marketing & Media"
03.01.2018,598.20,"Advertising, Marketing & Media"
03.01.2018,599.53,"Advertising, Marketing & Media"
03.01.2018,600.00,"Advertising, Marketing & Media"
03.01.2018,600.00,"Advertising, Marketing & Media"
03.01.2018,600.00,"Advertising, Marketing & Media"
03.01.2018,600.00,"Advertising, Marketing & Media"
03.01.2018,600.00,"Advertising, Marketing & Media"
03.01.2018,600.00,"Travel, venue hire and exhibition services"
03.01.2018,600.00,"Advertising, Marketing & Media"
03.01.2018,600.00,Professional Services
03.01.2018,600.00,"Advertising, Marketing & Media"
03.01.2018,600.00,"Advertising, Marketing & Media"
03.01.2018,600.00,"Advertising, Marketing & Media"
03.01.2018,600.27,"Travel, venue hire and exhibition services"
18.12.2017,600.76,"Advertising, Marketing & Media"
03.01.2018,606.60,"Travel, venue hire and exhibition services"
03.01.2018,606.77,IT & Telecoms
18.12.2017,608.25,"Travel, venue hire and exhibition services"
03.01.2018,609.99,Professional Services
03.01.2018,614.49,"Travel, venue hire and exhibition services"
03.01.2018,616.46,"Travel, venue hire and exhibition services"
18.12.2017,624.22,Facilities
03.01.2018,631.55,"Travel, venue hire and exhibition services"
03.01.2018,635.22,"Travel, venue hire and exhibition services"
03.01.2018,636.78,"Travel, venue hire and exhibition services"
03.01.2018,642.88,"Travel, venue hire and exhibition services"
03.01.2018,643.38,Facilities
03.01.2018,652.09,"Travel, venue hire and exhibition services"
03.01.2018,681.00,Professional Services
03.01.2018,684.08,"Advertising, Marketing & Media"
03.01.2018,684.89,"Travel, venue hire and exhibition services"
03.01.2018,686.70,"Travel, venue hire and exhibition services"
03.01.2018,689.22,"Advertising, Marketing & Media"
03.01.2018,689.33,Facilities
03.01.2018,690.81,"Travel, venue hire and exhibition services"
03.01.2018,695.51,"Advertising, Marketing & Media"
03.01.2018,695.59,"Travel, venue hire and exhibition services"
03.01.2018,710.52,"Travel, venue hire and exhibition services"
03.01.2018,724.15,"Travel, venue hire and exhibition services"
03.01.2018,725.34,Facilities
03.01.2018,726.92,"Travel, venue hire and exhibition services"
03.01.2018,727.06,"Travel, venue hire and exhibition services"
03.01.2018,730.37,"Travel, venue hire and exhibition services"
03.01.2018,736.33,"Advertising, Marketing & Media"
03.01.2018,741.56,"Travel, venue hire and exhibition services"
03.01.2018,744.00,"Travel, venue hire and exhibition services"
03.01.2018,746.48,"Travel, venue hire and exhibition services"
03.01.2018,750.00,"Travel, venue hire and exhibition services"
03.01.2018,756.76,IT & Telecoms
03.01.2018,756.92,"Travel, venue hire and exhibition services"
03.01.2018,760.88,"Travel, venue hire and exhibition services"
03.01.2018,772.50,Facilities
03.01.2018,777.47,Facilities
18.12.2017,787.41,"Travel, venue hire and exhibition services"
03.01.2018,814.00,"Travel, venue hire and exhibition services"
03.01.2018,819.13,Professional Services
03.01.2018,826.39,"Advertising, Marketing & Media"
03.01.2018,863.95,"Travel, venue hire and exhibition services"
03.01.2018,863.95,"Travel, venue hire and exhibition services"
03.01.2018,873.64,"Travel, venue hire and exhibition services"
18.12.2017,883.62,"Travel, venue hire and exhibition services"
03.01.2018,892.95,"Travel, venue hire and exhibition services"
03.01.2018,897.17,"Travel, venue hire and exhibition services"
03.01.2018,900.00,"Travel, venue hire and exhibition services"
03.01.2018,909.78,Facilities
03.01.2018,910.37,Professional Services
03.01.2018,920.34,"Travel, venue hire and exhibition services"
03.01.2018,925.57,Facilities
03.01.2018,927.48,Facilities
03.01.2018,930.00,"Travel, venue hire and exhibition services"
03.01.2018,930.00,"Travel, venue hire and exhibition services"
03.01.2018,931.44,"Advertising, Marketing & Media"
03.01.2018,932.14,"Travel, venue hire and exhibition services"
03.01.2018,938.38,"Advertising, Marketing & Media"
03.01.2018,939.08,"Advertising, Marketing & Media"
03.01.2018,950.79,Professional Services
03.01.2018,959.20,Professional Services
03.01.2018,960.79,"Travel, venue hire and exhibition services"
03.01.2018,980.30,"Travel, venue hire and exhibition services"
03.01.2018,988.38,"Travel, venue hire and exhibition services"
03.01.2018,990.61,"Travel, venue hire and exhibition services"
03.01.2018,992.14,"Advertising, Marketing & Media"
03.01.2018,"1,000.00","Advertising, Marketing & Media"
03.01.2018,"1,000.00","Advertising, Marketing & Media"
03.01.2018,"1,000.00","Advertising, Marketing & Media"
03.01.2018,"1,000.00","Advertising, Marketing & Media"
03.01.2018,"1,000.00","Advertising, Marketing & Media"
03.01.2018,"1,000.00","Advertising, Marketing & Media"
03.01.2018,"1,000.00","Advertising, Marketing & Media"
03.01.2018,"1,000.00","Advertising, Marketing & Media"
03.01.2018,"1,000.00","Advertising, Marketing & Media"
03.01.2018,"1,006.80","Travel, venue hire and exhibition services"
03.01.2018,"1,011.24","Advertising, Marketing & Media"
03.01.2018,"1,021.03","Travel, venue hire and exhibition services"
03.01.2018,"1,032.22","Advertising, Marketing & Media"
03.01.2018,"1,060.00","Travel, venue hire and exhibition services"
03.01.2018,"1,089.92",Facilities
03.01.2018,"1,100.29","Advertising, Marketing & Media"
03.01.2018,"1,101.61","Travel, venue hire and exhibition services"
03.01.2018,"1,107.30","Travel, venue hire and exhibition services"
03.01.2018,"1,122.46",Professional Services
03.01.2018,"1,145.77","Travel, venue hire and exhibition services"
03.01.2018,"1,148.67","Advertising, Marketing & Media"
03.01.2018,"1,200.00","Advertising, Marketing & Media"
03.01.2018,"1,228.00",Professional Services
03.01.2018,"1,233.58","Travel, venue hire and exhibition services"
03.01.2018,"1,248.70",Professional Services
03.01.2018,"1,251.22",Professional Services
18.12.2017,"1,317.29",Professional Services
03.01.2018,"1,397.16","Advertising, Marketing & Media"
03.01.2018,"1,404.14","Travel, venue hire and exhibition services"
03.01.2018,"1,425.00","Travel, venue hire and exhibition services"
03.01.2018,"1,542.26","Travel, venue hire and exhibition services"
03.01.2018,"1,669.56","Travel, venue hire and exhibition services"
03.01.2018,"1,684.95","Travel, venue hire and exhibition services"
03.01.2018,"1,712.97","Travel, venue hire and exhibition services"
03.01.2018,"1,862.83","Travel, venue hire and exhibition services"
03.01.2018,"1,974.52","Travel, venue hire and exhibition services"
03.01.2018,"1,998.14","Travel, venue hire and exhibition services"
03.01.2018,"2,000.00","Advertising, Marketing & Media"
03.01.2018,"2,384.00","Travel, venue hire and exhibition services"
03.01.2018,"2,410.34","Travel, venue hire and exhibition services"
03.01.2018,"2,652.00","Travel, venue hire and exhibition services"
03.01.2018,"2,911.95","Travel, venue hire and exhibition services"
03.01.2018,"2,934.20","Travel, venue hire and exhibition services"
03.01.2018,"3,691.85","Travel, venue hire and exhibition services"
03.01.2018,"3,720.00","Travel, venue hire and exhibition services"
03.01.2018,"4,650.00","Travel, venue hire and exhibition services"
